code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
hmrf,129862,Khabar Bari Corner,,Barisal,Notullabad,0.62,Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,0.0,30.0,22.7153713,90.3396752,"মীরা বাড়ির দরজা, ফিসারীরোড, নতুল্লাবাদ, বরিশাল",8204,https://foodpanda.com.bd/restaurant/hmrf/khabar-bari-corner
jroi,130705,Alvency,,Barisal,Barisal Sadar,0.0,Fast Food,0.0,0,50.0,0.0,30.0,22.7010325,90.3534708,Kawniya my tv,8022,https://foodpanda.com.bd/restaurant/jroi/alvency
va04,48566,Mermaid Coffee-Barishal,,Barisal,Barisal Sadar,1.75,Beverage,4.4,86,50.0,0.0,25.0,22.70421791,90.37019317,"East Sadar Road, Agorpur Road, Barishal Mohila College gate, Barishal.",8200,https://foodpanda.com.bd/restaurant/va04/mermaid-coffee-barishal
nlk3,75592,CP Five Star - Metro Eats,CP Five Star,Barisal,Kawnia,1.19,Chicken|Snacks|Meat|Fast Food|Fried Chicken,4.6,120,50.0,0.0,25.0,22.7125511,90.3565006,"B M college Road, Shomaj kollayan gate, barishal",8200,https://foodpanda.com.bd/restaurant/nlk3/cp-five-star-metro-eats
t9bh,8139,Rose Bilasi Biryani House-Notun Bazar,,Barisal,Barisal Sadar,1.4,Rice Dishes|Indian|Biryani|Asian,3.3,1571,50.0,0.0,25.0,22.71166805,90.3607137,"BM College Road, Close to Banariparha Bus Stand",8200,https://foodpanda.com.bd/restaurant/t9bh/rose-bilasi-biryani-house-notun-bazar
jtoq,115403,Kacchi Bhai - Barishal,Kacchi Bhai,Barisal,Barisal Sadar,1.87,Curry|Rice Dishes|Indian|Biryani|Doi|Asian,4.7,288,50.0,0.0,35.0,22.7038057,90.3714833,"Ynus Plaza (3rd Floor) Beside Lechu Shah Mazar sharif, Girjamohalla, Barishal.",8200,https://foodpanda.com.bd/restaurant/jtoq/kacchi-bhai-barishal
mpbr,99358,Pizza Burg - Barishal,Pizza Burg,Barisal,Barisal Sadar,1.21,Italian|Mediterranean|Pizza|Western,4.7,643,50.0,0.0,30.0,22.70512015,90.364387,"Holding No-951, word-18, bogra Road,Barisal-8200",8200,https://foodpanda.com.bd/restaurant/mpbr/pizza-burg-barishal
gu02,56869,Ghoroa Restaurant And Sweets ( Notun Bazar),Ghoroa Restaurant And Sweets ( Notun Bazar),Barisal,Barisal Sadar,1.38,Curry|Bangladeshi|Asian,4.1,4901,50.0,0.0,25.0,22.7115556,90.3606616,"Notun Bazar, Barisal",8200,https://foodpanda.com.bd/restaurant/gu02/ghoroa-restaurant-and-sweets-notun-bazar
y1hl,64556,Chuijhal Restaurant - Barishal,Chui Jhal Restaurant & Kebab Ghor,Barisal,Police Line,0.97,Bangladeshi|Doi|Asian,3.9,820,50.0,0.0,20.0,22.6879117,90.3565956,"Adjacent Of  Amtola Mor Panir Tank, East side of bijoy bihongo, South Alekanda, Barishal",8200,https://foodpanda.com.bd/restaurant/y1hl/chuijhal-restaurant-barishal
pc2u,92641,Elahi Biryani,,Barisal,Barisal Sadar,1.33,Rice Dishes|Indian|Biryani|Asian|Khichuri,4.5,190,50.0,0.0,20.0,22.7016111,90.3664807,"Opposite Of Customs Office, Gorachad Das Road, Sadar, Barishal",8200,https://foodpanda.com.bd/restaurant/pc2u/elahi-biryani
t5ha,8181,New Hazi Biryani,New Hazi Biryani,Barisal,Barisal Sadar,1.41,Rice Dishes|Indian|Biryani|Asian,3.9,2528,50.0,0.0,25.0,22.7114747,90.36118413,"Bazar More, Notun Bazar, Barishal",8200,https://foodpanda.com.bd/restaurant/t5ha/new-hazi-biryani
t7hg,9726,Cafe Star,Cafe Star,Barisal,Barisal Sadar,1.21,Western|Fast Food,3.9,3322,50.0,0.0,30.0,22.7024632,90.3651853,"Near to Battala Jame Mosque, Battala",8300,https://foodpanda.com.bd/restaurant/t7hg/cafe-star
uopr,73760,KFC Barishal,KFC,Barisal,Barisal Sadar,1.35,Chicken|Meat|Burgers|Western|Fast Food|Fried Chicken,4.7,591,50.0,0.0,30.0,22.7045896,90.366037,"Icon Tower (1st Floor), 845, B0gura Road, Kotwali, Barishal Sadar, Barishal-8200",8200,https://foodpanda.com.bd/restaurant/uopr/kfc-barishal
t1zy,10842,Rai Kitchen-Barisal,Rai Kitchen-Barisal,Barisal,Barisal Sadar,2.02,Snacks|Curry|Bangladeshi|Doi|Asian,4.4,1758,50.0,0.0,30.0,22.7049748,90.3726842,"1st Floor, Hotel Nokhotra Palace, Katpotti Road",8200,https://foodpanda.com.bd/restaurant/t1zy/rai-kitchen-barisal
u1lu,21175,Maa Biryani House - Barishal,,Barisal,Barisal Sadar,2.17,Curry|Rice Dishes|Indian|Biryani|Asian,3.1,1392,50.0,0.0,30.0,22.6993396,90.374553,"Beside Of Lonchghat jame Mosjid,charkaua Kheaghat,barisal",8200,https://foodpanda.com.bd/restaurant/u1lu/maa-biryani-house-barishal
t4fr,9071,Hungry Birds,Hungry Birds,Barisal,Barisal Sadar,0.72,Western|Fast Food,4.3,3553,50.0,0.0,30.0,22.70127845,90.3605463,"Munsur Quarter, Nabogram Road",8200,https://foodpanda.com.bd/restaurant/t4fr/hungry-birds
p1fv,48077,Prince Biryani House,,Barisal,Barisal Sadar,1.39,Rice Dishes|Indian|Biryani|Asian,3.8,1353,50.0,0.0,25.0,22.7117294,90.3604943,"BM College Road,Rina Manshon, Natun Bazar,Beside Nitai Mistanno Bhandar.",8200,https://foodpanda.com.bd/restaurant/p1fv/prince-biryani-house
k41t,66626,Hazi Biryani - Barishal,Hazi Biryani,Barisal,Barisal Sadar,2.11,Rice Dishes|Indian|Biryani|Asian,4.1,1210,50.0,0.0,20.0,22.7032457,90.3738879,"Mow. Anayetur Rahman Shorok, Folpotti, Sadar, Barishal-8200",8200,https://foodpanda.com.bd/restaurant/k41t/hazi-biryani-barishal
cji3,66627,Hazi Kacchi Bhai - Folpotti,Hazi Kacchi Bhai - Folpotti,Barisal,Barisal Sadar,2.11,Rice Dishes|Indian|Biryani|Asian,4.4,779,50.0,0.0,20.0,22.7032457,90.3738879,"Mow. Anayetur Rahman Shorok, Folpotti, Sadar, Barishal-8200",8200,https://foodpanda.com.bd/restaurant/cji3/hazi-kacchi-bhai-folpotti
t7ly,10998,Maa Restaurant,,Barisal,Barisal Sadar,2.17,Curry|Bangladeshi|Asian,2.9,2155,50.0,0.0,35.0,22.69933785,90.37454465,Charkaua Kheaghat,8200,https://foodpanda.com.bd/restaurant/t7ly/maa-restaurant
fxi3,68250,Jagannath Bhojanalay,,Barisal,Barisal Sadar,2.04,Curry|Vegetarian,4.4,441,50.0,0.0,25.0,22.70464184,90.37298094,"Opposite of Hotel Multiplaza, 2 Floor of Uma Cosmetic, Katpotti, Sadar, Barishal",8200,https://foodpanda.com.bd/restaurant/fxi3/jagannath-bhojanalay
t9oh,10840,Food King - Barisal,Food King - Barisal,Barisal,Barisal Sadar,0.9,Curry|Western|Fast Food,4.3,3262,50.0,0.0,25.0,22.701465,90.362253,Major M A Jalil Road,8200,https://foodpanda.com.bd/restaurant/t9oh/food-king-barisal
f4ab,112761,Live Kitchen Restaurant,,Barisal,Barisal Sadar,1.26,Snacks|Curry|Rice Dishes|Italian|Beverage|Mediterranean|Pizza|Chinese|Western|Asian|Fast Food,2.1,58,50.0,0.0,30.0,22.7041052,90.3653233,"Bogura road, In front of Eden Clinic. Ward no :- 16, BCC Barisal.",1212,https://foodpanda.com.bd/restaurant/f4ab/live-kitchen-restaurant-f4ab
t4fi,7932,New Gharoa Restaurant,New Gharoa Restaurant,Barisal,Barisal Sadar,1.89,Snacks|Curry|Bangladeshi|Asian,4.0,4303,50.0,0.0,20.0,22.703647,90.371651,"K.B. Hemayet Uddin Road, Girza Moholla, Barisal",8200,https://foodpanda.com.bd/restaurant/t4fi/new-gharoa-restaurant
