vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
jexp,20,2.96,21,৫ দিলাম যাতে সবাই দেখে। মুরগির ঝোল ন্যাটো যেন পানি আর সাথে ৩ ছোট টুকরো শেষ!! ভর্তাতে উপকরণের চেয়ে পিঁয়াজ ও মরিচ বেশি! বাঁশ খাইতে চাইলে নিন।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।,Shinjan,
q4if,30,3.0,35,খুভ ই বাজে খাবার.. ,Tilok,
raue,11,3.64,17,It's good✨,Foujia,
gfx9,30,3.44,46,chicket is very bad,Md,
m3uv,4,3.0,6,"নারিকেলের নাড়ু ভালো ছিল, আলু ভর্তা ভালো ছিল, কিন্তু ডালটা নষ্ট হয়ে টক হয়ে গেছে, চেক করে তারপরে দেওয়া উচিত ছিল।  সব মিলিয়ে খাবার ভালো ছিল শুধু ডালটা বাদে।",Roky,
u1lu,30,2.89,30,"Not proper grilled chicken provided also too much garlic, plain porota overpriced.",Hasibur,
btnc,3,2.71,3,"পরিমাণে খুব কম ছিলো।ডিম ভুনার ঝোল টোটালি ছিলোনা বিগ সাইজের পলিতে দিছে এক কোনায়,,,১০/২।রাইডার ভালো ছিলো,",Shammi,
bija,30,2.79,33,অর্ডার করলাম মিটবক্স অথচ মিট অনুবিক্ষণ যন্ত্র দিয়েও খুঁজে পাওয়া যাবেনা।ইনস্টাকশনে লিখে দিছি বেশি ভেজে শক্ত করবেন না।তাও এতো শক্ত করছে যে চাবাইতে দাঁত ব্যাথা হয়ে যায়।এক কথায় জঘন্য খাবার।,Tariqul,
yyyl,2,2.0,0,Not taste enough.,Swapnil,
b4n2,17,3.68,22,The rice was good but the chicken was dry.. Tasteless! Koidiner ager bashi chicken Allah janen !!,Nafis,
f4ab,24,2.97,30,খাবার ভাল ছিল। ১ জনের জন্য যথেষ্ট খাবার।,Nokibur,
