code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
la1j,108342,Chillox - Bogura,Chillox,Bogra,Naomatha,0.31,Burgers|Western|Fast Food,4.7,443,50.0,0.0,25.0,24.8448659,89.3750598,"1st Floor, 168/174, Amicus Plaza, Abdul Jobbar Road, Jolesshoritola, Bogura",5800,https://foodpanda.com.bd/restaurant/la1j/chillox-bogura
lv79,126494,Grill Station Bogura,,Bogra,Banani BG,1.67,Turkish|Kebab|Snacks|Middle Eastern|Beverage,4.6,26,100.0,0.0,30.0,24.8286877,89.377445,"Sherpur Road, Coloni, Bogura","1212,",https://foodpanda.com.bd/restaurant/lv79/grill-station-bogura
p9ab,82876,TRILOKA,,Bogra,Bogura Sadar,0.2,Turkish|Kebab|Curry|Middle Eastern|Beverage|Indian|Biryani|Asian,3.8,238,50.0,0.0,25.0,24.8453392,89.3760592,"(Nitu Villa) 2NDFLOOR, Romena Afaz road, Jaleswaritola, Bogura, Bangladesh , Romena Afaz Road",5800,https://foodpanda.com.bd/restaurant/p9ab/triloka
f40s,55377,The Grand Kacchi,The Grand Kacchi,Bogra,Bogura Sadar,0.2,Rice Dishes,3.9,3306,50.0,0.0,25.0,24.8453392,89.3760592,"Nitu Villa, 1st Floor, Romena Afaz Road, Jalesharitola, Bogura",5800,https://foodpanda.com.bd/restaurant/f40s/the-grand-kacchi
mn3x,77386,Standard  Kacchi House & Bangla Hotel,,Bogra,Satmatha,0.08,Curry|Rice Dishes|Fish|Seafood|Bangladeshi|Asian,2.6,278,50.0,0.0,20.0,24.8487744,89.3728013,"Kazi Nazrul Islam Rd,  7 matha , Bogra",5800,https://foodpanda.com.bd/restaurant/mn3x/standard-kacchi-house-and-bangla-hotel
tvao,62200,7 Star Food Corner,7 Star Biryani House,Bogra,Banani BG,2.09,Snacks|Curry|Rice Dishes|Indian|Biryani|Asian|Fast Food,4.4,427,100.0,0.0,30.0,24.8282529,89.3832279,"Holding number - 4201, চকলোকমান শ্যামলীর মোর করতোয়া রোড বগুড়া",5800,https://foodpanda.com.bd/restaurant/tvao/7-star-food-corner
zcqu,75871,Halima's Kitchen,,Bogra,Charmatha,0.09,Fast Food,4.4,53,75.0,0.0,35.0,24.85381876,89.36997193,"House no 501.5th floor. 5 number word, Tinpotti .dokkhin katnarpara. santahar road. jonota banker pase.j House name- Joynal hajir building. Bogra",5800,https://foodpanda.com.bd/restaurant/zcqu/halimas-kitchen-zcqu
dmtc,79773,Matir Ranna Ghor,,Bogra,Banani BG,0.32,Curry|Bangladeshi|Asian,4.4,122,65.0,0.0,35.0,24.842281,89.3708824,"Dubai Bari sutrapur gohail road ,5800",5800,https://foodpanda.com.bd/restaurant/dmtc/matir-ranna-ghor
e7wk,92784,Taste of Bangal,,Bogra,Naomatha,0.99,Bangladeshi|Asian,0.0,0,65.0,0.0,35.0,24.8539981,89.3831364,"Naruli, Naruli, House #15, 5800 Bogra Sadar, Bogra, Bangladesh",5800,https://foodpanda.com.bd/restaurant/e7wk/taste-of-bangal
iobz,83133,Cafe House Dattobari,,Bogra,Charmatha,0.34,Snacks|Beverage|Burgers|Western,1.5,11,75.0,0.0,35.0,24.85514899,89.3723477,"Dottobari, Opposite Of Sotabdi Feeling Station, Rangpur Road, Dottobari, Bogura, 5800 Bogra Sadar, Bogra, Bangladesh",5800,https://foodpanda.com.bd/restaurant/iobz/cafe-house-dattobari
