vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
iobz,9,2.17,7,"this food is very very bad.. no meet and other things... it's really west of money. in Bangla language ""পুরো ফালতু খাবার টাকাই নষ্ট 🤮🤮🤮🤮",Sinthia,
qs91,10,3.07,13,mutton khubi choto ar haddi diyeche,Ahasan,
c06c,2,5.0,5,Test ta valoi chilo,Abdur,
dmtc,30,3.3,38,very good food🥰,md,
f40s,30,3.13,38,Tehari was fabulous.. Morog polao e misti aktu kom diben,Rio,
e7tq,4,1.73,2,এক ধম বাজে লেখা আছে ৬পিছ পিৎজা আর দিসে ৪ পিছ,Md,
rcqn,3,3.0,4,তেমন কোন ফ্লেভার নাই। এক্সট্রা টকিং এর জায়গায় শুধু শুধু ক্যাপসিকাম দিছে। আমার একদমই পছন্দ হয়নি।,Sanjida,
k3c3,28,3.21,39,Joghonno cihh..waok🤮,Jannatul,
mn3x,30,2.32,23,একদম বাজে ডাল এর দাম অনেক বেশি ,BM,
lv79,9,4.08,18,"good. shawarma ektu beshi jhal lagse, otherwise perfect. mayonnaise diyeche bhalo amount e. ",Atika,
la1j,30,3.86,53,"আসসালামু আলাইকুম আমি আপনাদের রেগুলার কাস্টমার আমি রিকমেন্ট করব যে রাইস বলে সাথে মেয়োনিজ বেশি দেওয়া হয়,  কারন অ্যারাউন্ড দুই পিস উইংস চিকেন ফ্রাই এটা একটা সস দিয়ে খাওয়া যায় না ",Md,
nnje,23,3.31,30,good,Tania,
zcqu,30,3.76,54,"খেয়ে অনেক ভালো লাগলো, তাই আবার ওডার করলাম",MD,
t4o6,18,3.67,32,chowmin ta akto misti beshi baking sob thik ace,MD,
q25z,30,2.84,35, জাউড়আ  মাদারছুট খানকীর ছেলে ফালুদা নয় সাবু দানআ আর আপেল দিসে খালি মাগীর বেটা ফুচকার আলু ভর্তা পুরাই কষা গু,Utsho,
hrmf,2,5.0,5,"খাবার খুব ভালো ছিলো। দাম কম, টেস্ট একদম দারুণ।বান নরম, চিকেন ক্রিস্পি, সস মজা।  দাম হিসাবে একদম perfect ছিলো। ",Liza,
qsgc,1,2.0,0,Begun vaji r badam vorta order kora por o deyni dal order korini kintu dal diyece ata Thik koreni,Parvez,
p9ab,30,3.26,43,"হারিয়ালি কাবাব খুব মজা ছিল। গ্রিল চিকেন ও ভাল, তবে প্রচুর আর্টিফিশিয়াল কালার এড করে চিকেল টাকে লাল টুকটুকে করা হয়েছে, যেটা আমার ভাল্লাগে নাই। মেয়োনিজ টা খুব ই বাজে ছিল। বাটার নানে বাটার ই ছিল না। ",Swarna,
tvao,15,4.05,31,খাবার ভালো ছিল ,Raju,
ru5r,10,4.08,20,Everything is good.Thank you.,A.,
pixo,7,4.6,13,nice rice and yummy Chicken  and শসা is yummy too i like at but i am roza ,Farhan,
