code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
al6g,68654,Domino's Pizza GEC,Domino's Pizza,Chittagong,GEC Circle,0.33,Italian|Mediterranean|Pizza|Western,4.7,962,0.0,39.0,25.0,22.3612959,91.8193203,"“Ariel Legend”, House- 1080, CDA Avenue, East Nasirabad, Panchlaish, Chattogram – 4000, Bangladesh",4200,https://foodpanda.com.bd/restaurant/al6g/dominos-pizza-gec
aepg,112597,CHOW BITES,,Chittagong,Bayazid,0.8,Snacks|Rice Dishes|Fast Food,3.8,5,100.0,0.0,45.0,22.3800625,91.8496094,"Chandgaon R/A, ROAD 8 ,BLOCK -B
Chittagong - 4200
Bangladesh",4200,https://foodpanda.com.bd/restaurant/aepg/chow-bites
mh97,72828,Joy Jagannath Kitchen & Sweets,,Chittagong,Kotwali,0.11,Curry|Vegetarian,4.0,340,100.0,0.0,35.0,22.33872554,91.83566596,"Basudev Complex 2nd Floor , 44, Hajari Lane ( Premier University ) Kotowali",4200,https://foodpanda.com.bd/restaurant/mh97/joy-jagannath-kitchen-and-sweets
supg,91505,My Chef,,Chittagong,GEC Circle,0.43,Fast Food,4.1,52,50.0,0.0,30.0,22.3595467,91.8255855,"Ilias Mansion 130, O R Nizam Road, Gulpahar Moor, Chattogram",4214,https://foodpanda.com.bd/restaurant/supg/my-chef-supg
stxu,76471,Shamiyana,,Chittagong,CDA Avenue,0.19,Turkish|Kebab|Curry|Rice Dishes|Middle Eastern,3.4,51,65.0,0.0,30.0,22.3642277,91.825146,1574/A Bayazid Bostami Rd,4200,https://foodpanda.com.bd/restaurant/stxu/shamiyana
c7q9,77831,Pizza Land - Chittagong,,Chittagong,CDA Avenue,0.23,Snacks|Italian|Mediterranean|Pizza|Burgers|Western,4.2,14,50.0,0.0,40.0,22.3634491,91.82486375,"Nasirabad, 2no gate, Badsha Miya Petrol Pump opsite side, Shananda Road, urology hospital,  Mutaleb House.",4203,https://foodpanda.com.bd/restaurant/c7q9/pizza-land-chittagong
yeu7,60484,The Lone Star Steakhouse - Nasirabad,Lone Star Steakhouse,Chittagong,CDA Avenue,0.22,Steak|Meat,4.4,343,65.0,0.0,40.0,22.3647171,91.8250334,"5th Floor, 94, Eves Center, Nasirabad Housing Society, Road No 3, Nasirabad, Chittagong (Besides Badshah Miah petrol pump or Gate no:2)",4200,https://foodpanda.com.bd/restaurant/yeu7/the-lone-star-steakhouse-nasirabad
skds,71083,Waffle Scoop,,Chittagong,GEC Circle,0.29,Beverage|Dessert,4.6,384,50.0,0.0,30.0,22.3568367,91.822975,"23 Mohammad Ali Road, Opposite Side Of Zila Shilpokola Academy, Chittagong",4200,https://foodpanda.com.bd/restaurant/skds/waffle-scoop
utiu,97416,Snackza - MM Ali Road,,Chittagong,GEC Circle,0.36,Chicken|Rice Dishes|Beverage|Meat|Fast Food,4.8,148,50.0,0.0,30.0,22.3560564,91.8228677,"M.M. Ali Road, Shilpakala area, Chattogram",4000,https://foodpanda.com.bd/restaurant/utiu/snackza-mm-ali-road
yi5c,31367,Bella Pizzaria,Bella Pizzaria,Chittagong,CDA Avenue,0.18,Chicken|Italian|Mediterranean|Pizza|Meat|Western|Fast Food,4.7,1043,65.0,0.0,35.0,22.3643427,91.8252934,"araf hospital building ,1st floor,east nasirabadh,panchlaish",4200,https://foodpanda.com.bd/restaurant/yi5c/bella-pizzaria
t8ba,9789,7dayz,7dayz - Chittagong Chain,Chittagong,CDA Avenue,0.58,Curry|Rice Dishes|Indian|Biryani|Asian,4.6,39809,65.0,0.0,30.0,22.36702,91.822365,"1st Floor, Sholosohor Super Market, 2 No. Gate, Near Jamuna Super Market, Bayazid Bostami Road, East Nasirabaad",4209,https://foodpanda.com.bd/restaurant/t8ba/7dayz
