vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
ivwh,30,2.61,25,i always liked snackza meatbox... but this is the first time i ordered at home they just gave  2/3 chicken pieces after that there was all chicken shells like in fried chicken the shell we can see... ,Maisha,
l4vs,5,2.83,6,salat pay nay,shakib,
of8b,5,2.54,4,very bad packaging the drink got spilled ,Syeda,
cjp5,27,3.59,44,The cake was really moist and tasty.,Lamia,
z2dw,1,5.0,2,The fried rice was delicious. quantity was good. ,Tasnim,
kq9c,23,3.13,31,"Sih purah faltu, khabar bali bali erkm joghonno khabar age khai nai",Aysha,
g3k9,30,3.23,42,Purano bashi khabar dise,Tasnuva,
tzk5,30,3.76,48,"Delicious veg & greens, fish slightly spicy 🌶️ . Set meals were steamy, fresh off the stove.  It was a pleasant experience.  Ordered many dishes all were perfect 👍🏼 ",Beauty,
oczy,2,2.6,1,"They gave us the worst batch of jilapi in this order. I bought jilapi package from Kheerwala many times but previously I got good quality food. But this time, they gave me the burnt & worst jilapi.",Ishmam,
t2iz,30,2.92,31,Sooooooooooo Yammi........!!!! moja......!!!!,Engr.,
fd2a,12,3.33,16,not soo good. ,Umme,
on8p,6,3.43,8,pizza test thik chilo .but kono sauces deoa hoini,Maimuna,
t8ba,30,3.19,35,Test is good,Akid,
q2gc,2,1.0,0,"নুডুলসে লবন বেশি, ১৮০ টাকার বিফ চাপে লিটারেলি রান্না মাংস ৩ টা, যার ২ টা হাড্ডি। ফালতু দোকান।",Ahsanul,
eyth,19,2.19,14,Ekdom faltu chilo cake ta 😡😡amar bacchar jonno order korechilam joghonno chilo 😡😡ki baje cream use koreche cake e,Farah,
keyb,30,3.03,33,"testy but mangshor poriman onk kom chilo , 1pkt e 5pis Alu r 4pis mangsho chilo, kisu faltu customer onner Pao takai kheye kheye mangshor poriman bashi likhe.",Md,
pmf7,3,5.0,7,good as usaual ,Mrs.Iftaker,
s2ai,30,3.08,38,খাবারের মান আরও ভালো করতে হবে ,Mohammad,
dw1w,1,3.0,0,Food was tasty but took soo long,Efaj,
