code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
xnm5,103852,Domino’s Pizza - Cumilla,Domino's Pizza,Comilla,Kandirpar,0.57,Italian|Mediterranean|Pizza|Western,3.2,20,0.0,39.0,25.0,23.4568214,91.177301,"222/02, Halima Mansion, Jhawtola, Kandirpar, Cumilla Sadar, Cumilla – 3500, Bangladesh",3500,https://foodpanda.com.bd/restaurant/xnm5/dominos-pizza-cumilla
hia7,57669,M-Food Restaurant,,Comilla,Kandirpar,0.08,Biryani|Western|Chicken|Snacks|Healthy|Curry|Rice Dishes|Middle Eastern|Beverage|Shawarma|Indian|Soups|Mexican|Sandwiches|Meat|Burgers|Asian|Fast Food,3.0,427,50.0,0.0,30.0,23.46053825,91.18170325,"Beside BNP Office (Temporary) ,
Kandirpar Victoria college road, Comilla
3500",3500,https://foodpanda.com.bd/restaurant/hia7/m-food-restaurant
u29j,50618,Biriyani Express,Biriyani Express,Comilla,Kandirpar,0.42,Snacks|Curry|Rice Dishes|Dessert|Bangladeshi|Asian,3.0,460,50.0,0.0,25.0,23.45799285,91.1780037,"Holding 147, Mrinalini datta ladies hostel, Comilla Tower goli",3500,https://foodpanda.com.bd/restaurant/u29j/biriyani-express-u29j
dn1k,44900,Shokher Rannaghor,Shokher Rannaghor,Comilla,Kandirpar,0.42,Snacks|Curry|Dessert|Bangladeshi|Asian,3.6,521,50.0,0.0,30.0,23.4579701,91.1780024,"Holding 147, Mrinalini datta ladies hostel, Comilla Tower goli",3500,https://foodpanda.com.bd/restaurant/dn1k/shokher-rannaghor-dn1k
mt82,66467,Mithai-Badurtola,Mithai - Dhaka,Comilla,Kandirpar,0.23,Cakes|Dessert|Fast Food,3.8,136,50.0,0.0,35.0,23.4618504,91.1790118,"Near YWCA School ,Badurtola,Comilla",3500,https://foodpanda.com.bd/restaurant/mt82/mithai-badurtola
c1ql,125600,Golgappa,,Comilla,Race Course,0.21,Fast Food,0.0,0,50.0,0.0,35.0,23.4633598,91.1820322,"Zilla School Road, beside Planet SR Shopping Mall Gate (Kandirpar).3500 Comilla, Bangladesh",3500,https://foodpanda.com.bd/restaurant/c1ql/golgappa-c1ql
jcy2,77691,RIZIK Restaurant,,Comilla,Race Course,0.73,Curry|Rice Dishes,4.4,269,50.0,0.0,35.0,23.4587578,91.1882388,"West bank of Nanua Dighi, Near Jahanara School, Comilla",3500,https://foodpanda.com.bd/restaurant/jcy2/rizik-restaurant-jcy2
cde9,81669,From Suiicide,,Comilla,Chartha,0.64,Italian|Mediterranean|Pizza|Chinese|Western|Asian|Fast Food,2.4,7,50.0,0.0,35.0,23.4461262,91.1800683,"Yeasin Market, EPZ 2nd Gate Rd, 3500 Comilla Sadar, Comilla, Bangladesh",3500,https://foodpanda.com.bd/restaurant/cde9/from-suiicide
ck9u,81142,Hotel Mahadi Special Biryani,,Comilla,Kandirpar,0.04,Curry|Rice Dishes,0.0,0,50.0,0.0,35.0,23.4605083,91.1805597,"West side of Somobay Bank Market, Kandirpar, Cumilla",3500,https://foodpanda.com.bd/restaurant/ck9u/hotel-mahadi-special-biryani
cs84,76436,Cafe Avengers,,Comilla,Kandirpar,0.13,Snacks|Rice Dishes,2.3,8,50.0,0.0,35.0,23.4615332,91.1817436,"Cumilla City Market,  City market1stfloor kandirpar cumilla, 3500 Comilla Sadar, Comilla, Bangladesh",3500,https://foodpanda.com.bd/restaurant/cs84/cafe-avengers-cs84
us5c,76158,Bhuter Bari,,Comilla,Kandirpar,0.38,Snacks|Curry|Rice Dishes|Dessert,0.0,0,50.0,0.0,35.0,23.4630882,91.1781871,কুমিল্লা ধর্ম সাগর দক্ষিণ গেইট বাদুরতলা। ভূতের বাড়ি রেস্টুরেন্টে।,3500,https://foodpanda.com.bd/restaurant/us5c/bhuter-bari
t4z4,78220,Live BBQ Pizza,,Comilla,Kandirpar,0.39,Italian|Mediterranean|Pizza|Western,3.9,15,50.0,0.0,35.0,23.4631883,91.1781967,"Dharma Sagar Par, 1no Gate, Badurtola",3500,https://foodpanda.com.bd/restaurant/t4z4/live-bbq-pizza
bm98,78040,Hungry Nomads,,Comilla,Kandirpar,0.45,Snacks|Burgers|Western|Fast Food,0.0,0,50.0,0.0,35.0,23.4596235,91.1766895,"In front of Law College, Nazrul Avenue, Kandirpar",3500,https://foodpanda.com.bd/restaurant/bm98/hungry-nomads
psox,77700,Maison d'Inaya,,Comilla,Kandirpar,0.46,Snacks|Curry|Bangladeshi|Asian,4.9,88,50.0,0.0,35.0,23.46101,91.1763954,"Ashraf Monjil, Purbotal Pukurpar , SEL Milon Kunjo, Cumilla",,https://foodpanda.com.bd/restaurant/psox/maison-dinaya
