vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
jcy2,30,3.22,36,খাবার ছিলো ঠান্ডা। রাইডার জানিয়েছিলো দেরী হয়েছে নতুন করে ভাত রাধতে গিয়ে। প্যাকেট খুলে অবাক হলাম কারন ভাত ছিলো বেশি ঠান্ডা। পাতিল কাচানো ভাতের মত অবস্থা। ,Muntasir,
u29j,30,2.86,32,"এইটাকে যদি বিরিয়ানি বলা হয় তাহলে অর্জিনাল বিরিয়ানি নিজেই লজ্জা পাবে।মনে হয়েছে কেউ প্লেইন পোলাও এর সাথে চিকেন কারি মাখিয়ে সার্ভ করে দিছে।তারপর দিছে ওয়ানটাইম বক্স, কালো পলিথিন এ।টোটালি বাটপারি। ",Jobayer,
e768,5,3.33,8,Worst meatbox I've ever tasted!. I've ordered chicken cheese meatbox but you filled the whole dish with some bad sausages and fries. ,YEASIN,
dn1k,30,3.55,45,খাবার যে এতো বাজে কোয়ালিটির হয় জানা ছিলো না এদের থেকে খাবার অর্ডার করা উচিত না।,Mithun,
mt82,5,2.54,5,"Shokale order dileo misti tok thake, bikele dileo tok thake! ",Sarah,
cs84,5,2.67,4,nachos was not good,Dr-Urmy,
gdr1,2,4.67,6,200tk hisabe vloi kintu crust ta arektu soft hoile vlo hoito r chesse arektu daoyar dorkar chilo,Raida,
t4z4,7,2.78,7,"একবারে বাজে স্বাদ, পেছনে পুড়িয়ে ফেলেছে। রাইডার কোন ক্যারিং ব্যাগ ব্যবহার করেনা, যার ফলে খাবার ঠান্ডা হয়ে পুরা বরফ। ",Durlav,
ploh,16,3.0,16,Chicken golo bashi cilo !!!,Farjana,
cde9,3,2.5,2,akdon thanda bhalo na khub baje kono mangsho nai,Tamirul,
xnm5,6,2.33,4,food quality vaze chio ..,Muhammad,
hia7,30,2.92,36,noodles আগের চেয়ে পরিমানে কম মনে হলো। কিন্তু স্বাদ ভালো। ,Tanha,
ztp2,6,3.75,8,ব্রেড এবং কেইক এর ডেট অনেক কম ছিল।এতো বড়ো কেইক তো একদিনে খাওয়া যায় না। অন্ততঃ কষ্টমার যাতে তিন দিন রেখে খেতে পারে সেইভাবে দিবেন। দুইদিন আগের টা দিবেন না। খুবই বিরক্তিকর। মিষ্টি ভালো ছিল ,Afrojuj,
qz8u,20,2.41,17,রুটি আর ডাল টা ভাল,Asraf,
xj4h,20,3.98,39,mutamuti😒,Sadia,
ck9u,1,2.33,1,ভাই গিলা কলিজা বলেছেন ভালো কথা লাউ দিয়ে গিলা কলিজার তরকারি রান্না করছেন তাও ভালো কথা কিন্তুু গিলা কলিজা মুরগীর পা কি ভালো ভাবে পরিস্কার করা পসিবল ছিলো না? নাকি টাইম পান নি কোন টা? বাজ অবস্থা।,Md,
ti68,30,3.56,46,very bad experience... ,Ethan,
psox,30,4.09,57,Taste good and fresh.Quality and Quantity also very good,Shadman,
