code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
u3ar,19589,Ocean Paradise Hotel & Resort,Ocean Paradise Hotel & Resort,Cox'S Bazar,Court Bari,2.89,Chicken|Snacks|Meat,4.8,1619,50.0,0.0,30.0,21.4182767,91.9823828,"28-29, Hotel Motel Zone Road",4700,https://foodpanda.com.bd/restaurant/u3ar/ocean-paradise-hotel-and-resort
egqj,63539,White Orchid Restaurant,White Orchid Restaurant,Cox'S Bazar,Court Bari,2.57,Snacks|Curry|Asian,4.6,278,50.0,0.0,30.0,21.4211414,91.9821589,"White Orchid, Plot # 30, Block # C, Sea Beach R/A Kolatoli Main Road, Kolatoli, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/egqj/white-orchid-restaurant
sp48,53833,Allegro Suites,Allegro Suites,Cox'S Bazar,Court Bari,2.02,Asian,4.7,708,50.0,0.0,40.0,21.4257856,91.97996,"ALLEGRO SUITES, Plot - 65, Block - A, Kolatoli Road, Cox's Bazar Sadar, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/sp48/allegro-suites
kfpi,63684,Cafe Ladhidh - Krishi Office Road,Cafe Ladhidh - Krishi Office Road,Cox'S Bazar,Court Bari,0.19,Fast Food,4.0,277,50.0,0.0,35.0,21.4440707,91.97694461,"Reza Plaza, Krishi Office Road, Cox's Bazar Sadar, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/kfpi/cafe-ladhidh-krishi-office-road
s9au,5120,Cafe 14 - Cox's Bazar,,Cox'S Bazar,Court Bari,2.0,Snacks|Chinese|Asian,4.7,391,50.0,0.0,35.0,21.42573545,91.978722,"Hotel-Motel Zone, Near At KFC, 14, Road, Cox's Bazar - 4700",4700,https://foodpanda.com.bd/restaurant/s9au/cafe-14-coxs-bazar
ltrl,62793,Poushee Restaurant - Cox,,Cox'S Bazar,Court Bari,3.2,Snacks|Curry|Rice Dishes|Beverage|Seafood|Dessert|Bangladeshi|Asian,4.5,511,50.0,0.0,30.0,21.4162368,91.9853855,"World Beach Resort, Dolphin Mor, Kolatoli, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/ltrl/poushee-restaurant-cox
maud,95096,Kacchi Bhai - Cox’s Bazar,Kacchi Bhai,Cox'S Bazar,Court Bari,1.97,Curry|Rice Dishes|Indian|Biryani|Asian,4.5,813,50.0,0.0,30.0,21.42601935,91.9790879,"Block-A, Plot-13 (1st Floor), Main Road, Kolatoli, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/maud/kacchi-bhai-coxs-bazar
t1ug,13229,Shawarma King - Cox's Bazar,Shawarma King,Cox'S Bazar,Court Bari,1.82,Middle Eastern|Shawarma|Fast Food,4.6,3253,50.0,0.0,30.0,21.42726645,91.9783406,"Sea Sun Resort, Block A, Plot 15, Kolatoli Road",4700,https://foodpanda.com.bd/restaurant/t1ug/shawarma-king-coxs-bazar
t4zq,7616,Grameen Restora & Biryani House,Grameen Restora & Biryani House,Cox'S Bazar,Court Bari,1.75,Snacks|Curry|Indian|Biryani|Bangladeshi|Asian,2.5,2837,50.0,0.0,25.0,21.42798105,91.97871245,"Light House, Near At Morsheda Resort, New Beach Rd",4700,https://foodpanda.com.bd/restaurant/t4zq/grameen-restora-and-biryani-house
s1vi,5203,KFC Cox's Bazar,KFC,Cox'S Bazar,Court Bari,1.88,Chicken|Meat|Burgers|Western|Fast Food|Fried Chicken,4.7,5403,50.0,0.0,30.0,21.426744,91.978515,"Plot No. 8, Block A, Kolatoli, Hotel Motel Zone, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/s1vi/kfc-coxs-bazar
j8pn,42861,Hyderabad Biryani & Restaurant.,Hyderabad Biryani & Restaurant,Cox'S Bazar,Court Bari,1.73,Curry|Rice Dishes|Indian|Biryani|Asian,2.9,877,50.0,0.0,20.0,21.4281193,91.9785627,"Beside Well Park Resort, Plot No 41, Block A, Light House Road, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/j8pn/hyderabad-biryani-and-restaurant
