vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
j8pn,30,2.77,35,Thank you nice work & food,Tasmia,
hwd8,30,2.93,36,"taste like home made food. clean, tasty, good packaging. ",Punam,
w5xd,12,3.0,13,"agay valo chilo, ekhon bashi khabar dei",Farhana,
s7i2,13,2.56,11,"গরম হওয়া সত্বেও রুটি কিভাবে শক্ত হয়, বাজে রুটি, আলু তরকারি যা আলু ভাজির নামে প্রতারণা, আর ভুনা খিচুড়ি এখনো খাইনি, বুঝাই যাচ্ছে কেমন হবে। এক কথায় ব্যবসার নামে প্রতারণা ",Ala,
xdeb,15,2.53,10,worst food ever i had in coxsbazar,Salauddin,
t1ug,30,3.51,43,Love it,Mithila,
jwkf,11,3.15,14,"I haven’t received by one product,  Iced Hazelnut  latte",kamrul,
utyx,30,2.67,25,প্রিজার প্যাকেটে পোকা ছিল। ব্যাক সাইডে কাঁচা ময়দা।,Rashed,
hixi,9,2.0,4,এত্ত বাজে আর ১০'' ওর্ডার দিয়ে পেয়েছি ৭',Ashad,
s7zt,9,2.55,6,Last two orders haven't been as good as usual and prices have gone up. ,Jason,
s5av,4,2.5,2,"খুব ই বাজে এক্সপেরিয়েন্স ছিলো ,pizza টা একদম টেস্ট নাই ,পাস্তা টাও সেইম। আর কোনদিন ভুলেও ট্রাই করতে চাই না। ",Shakil,
e04h,2,2.2,1,Food is terrible!! Pasta was under boiled. Nachos were not crispy. Waste of money ,Tazreen,
wa5z,6,4.62,14,"Thank you for everything. I can feel the warmth and care. It was spicy for us. I should have mentioned that earlier. Nevertheless, quantity, quality, and care was unmatchable. Thank you.",Prena,
s9en,30,3.26,42,ugly and every carrot,Mashrora,
icoc,7,2.18,5,too much Costly. food is average. quantity not up to the mark,Nabil,
awfs,30,2.79,33," Chicken Wrap ta ato faltu chilo khete,ekta porota diye 2pis mini chicken diye morai diye diche ,Kono salat o nai,tar upor icce moto tomato sauce diche kub e vabe kub e! experience 10 out of 00",Safi,
xusy,30,2.59,27,crispy chicken wrap টা ঠান্ডা এবং hot &crispy fried chicken টার সাইজ ছোট ,Makjumi,
qsyq,3,4.11,7,খাবার ঠিকঠাক ছিল। কিন্তু চামচ ও সস দেয় নাই।,Subrata,
owtx,30,3.17,42,akdom fhaltu.ato baje mane fhalaiya deya lgce.ektuku moja na.lassi ta vlo cilo.,SHAIFUR,
zozo,3,4.14,5,"স্পেশাল খিচুড়ি ভালো ছিল, তবে মাংসের পরিমাণ একেবারেই কম!",Mousumi,
gm0l,13,3.38,17,"একদম বাজে জুস,পারত পক্ষে কেউ ট্রাই কইরেন না,বাজে স্বাদ",Md,
l88k,1,1.0,0,Sandwich was rotten stinking,Stallone,
