code,name,chain,city,area,cuisines,rating,reviews,min_order,delivery_fee,delivery_time_min,lat,lng,address,post_code
oid3,Dibbles,Dibbles Gulshan,Dhaka,,Chicken|Snacks|Meat|Burgers|Western|Fast Food,4.7,30,50.0,38.0,35.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
ewqw,Honest Bistro & Dine,,Dhaka,,Beverage|Cafe|Breakfast|Dessert|Burgers|Western|Faluda,0.0,0,50.0,61.0,35.0,23.86246345,90.39401645,HOUSE-13 road-18 sector-3 Uttara-1230,1230
tr0z,Khaddo Bilash,,Dhaka,,Snacks|Rice Dishes,4.1,26,50.0,52.0,45.0,23.8749548,90.3952232,": H#49, R#1, S#9,",1230
cf65,Two spoons,,Dhaka,,Western|Fast Food,4.7,23,50.0,38.0,30.0,23.8724054,90.3909436,"Two spoons,plot 38,Gareeb E Newaz Ave,Sector 13,uttara,Dhaka",1230
fflz,All That,,Dhaka,,Snacks|Burgers|Western|Fast Food,0.0,0,50.0,37.0,30.0,23.8672233,90.3838547,"Plot 3, Shah Makhdum Avenue, Sector 14, Uttara Dhaka-1230",1230
iy2u,Crosta Express,,Dhaka,,Snacks|Beverage|Cafe|Fast Food,4.0,15,50.0,37.0,30.0,23.8672233,90.3838547,"plot 1, shah makdum avenue, sector 14, Uttara Dhaka-1230",1230
fejm,Rice Lab - Uttara,Rice Lab - Mirpur,Dhaka,,Rice Dishes|Chinese|Asian|Fast Food,4.2,30,50.0,38.0,30.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
vudf,Tehari Ghar + (Uttara Sec 12),Tehari Ghor Plus,Dhaka,,Rice Dishes|Indian|Biryani|Asian,4.8,30,50.0,28.0,30.0,23.86928849,90.38377097,"31, Shah Makhdum Ave (12-13 More) Sector 12, Uttara, Dhaka- 1230",1230
s6ka,Cheez - Uttara,Cheez,Dhaka,,Italian|Mediterranean|Pizza|Western,4.8,30,50.0,34.0,35.0,23.8772382,90.39084735,"Gareeb-e-Nawaz Avenue, House No. 34, Sector 11, Uttara, Dhaka",1230
r3n8,BiteCraft - Uttara,,Dhaka,,Rice Dishes|Burgers|Western,4.5,17,50.0,38.0,30.0,23.86455007,90.38672435,"Sector -14, House -24, Road-09,Sector-14, Uttara., 1230 Uttara, Dhaka, Bangladesh",1230
ulta,Food Lab,,Dhaka,,Italian|Mediterranean|Pizza|Burgers|Western|Fast Food,3.5,30,50.0,28.0,55.0,23.87613218,90.38903845,"House: 22, road:17, Sector:11 Uttara Sector 11 No Park,  Uttara , 11no sector, Dahaka",.
yxgi,Uncle Bobo's - Uttara,Uncle Bobo's,Dhaka,,Fast Food,4.9,30,50.0,52.0,35.0,23.8667142,90.39411705,"House No. 54, Road No. 13, Sector No. 3, Uttara Model Town, Dhaka-1230",1230
o4qm,Waffle Up - Uttara,Waffle Up,Dhaka,,Dessert,4.9,30,50.0,38.0,25.0,23.871721,90.390698,29 Garib Newaz Avenue  Sector  13,1230
cj62,B-Baria Restaurant - Uttara,B-Baria Restaurant - Uttara,Dhaka,,Curry|Indian|Biryani|Bangladeshi|Asian,1.9,30,50.0,61.0,30.0,23.87935425,90.4014715,"Sector 8, Sujon Road, Right side of polwel carnation shopping center, abdul kadir super market, Uttara",1230
s3md,Jalapenos,Jalapenos,Dhaka,,Wraps|Snacks|Rice Dishes|Burgers|Western,4.4,30,50.0,38.0,30.0,23.8655809,90.3840992,"Sector 14, Road 23, Jatrabari Road, Pakuria, Beside Daraz Office, Dhaka, Bangladesh",1230
aszk,House of Rice,,Dhaka,,Snacks|Rice Dishes|Beverage,4.7,30,50.0,52.0,45.0,23.8652674,90.3891714,"johura market ,Plot-15/C, (1st Floor) Sector # 14, Road 05, Uttara,Dhaka 1230",1230
clml,Foodelux,,Dhaka,,Italian|Mediterranean|Pizza|Western|Bangladeshi|Asian,3.5,30,50.0,31.0,50.0,23.8761185,90.3889192,"Shop no:03, House:22, Road:17, Sector:11, Uttara, Dhaka-1230, beside Uttara Evergreen Students Hostel",1230
waua,Rice & More,Rice & More,Dhaka,,Rice Dishes|Chinese|Western|Asian|Fast Food,4.3,30,50.0,38.0,35.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
ge20,Dream Burger,Dream Burger,Dhaka,,Burgers|Western|Fast Food,4.1,30,50.0,38.0,30.0,23.86918812,90.38888949,"SH Tower, 4th Floor, House: 35, Gawsul azom avenue, Sector: 14, Uttara, Dhaka 1230",1230
d71c,Fries & Rice,Fries & Rice,Dhaka,,Chicken|Meat|Fast Food,4.3,30,50.0,38.0,30.0,23.86915223,90.38887361,"House- 35, FH Tower, Lift- (level 4), Road- Gausul Azam Avenue, Dhaka-1230",1230
xioq,Tehari & Khichuri Ghor,,Dhaka,,Rice Dishes|Bangladeshi|Asian,4.2,30,50.0,37.0,30.0,23.874267,90.3907017,Zam Zam Tower East Side Uttara-1230,1230
pi92,Wrap & Meat Box,Wrap & Meat Box,Dhaka,,Wraps|Snacks|Middle Eastern|Shawarma|Fast Food,4.4,30,50.0,38.0,30.0,23.86917568,90.38885766,"SH Tower, 4th Floor, House: 35, Gawsul Azam Avenue, Sector: 14, Uttara, Dhaka 1230",1230
scgo,Cafe Cino,Cafe Cino,Dhaka,,Fast Food,4.8,30,50.0,61.0,35.0,23.8633332,90.3941384,House-26 sector-3 road -18 uttara sector-3  Dhaka-1230,1230
gu4a,Allahr Dan Kacchi Ghor,,Dhaka,,Rice Dishes|Indian|Biryani|Asian,3.8,30,50.0,38.0,25.0,23.8799228,90.3919475,Sector -10/11 Road-13 Swicth gate Mosques Uttara-1230,1230
h6dp,Maa Home Delivery - Uttara,Maa Home Delivery - Uttara,Dhaka,,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,3.4,30,50.0,19.0,35.0,23.8712417,90.384845,"House-39, Road-18,Sector-13, Uttara.",1230
yeua,O Bhai Kacchi,O Bhai Kacchi,Dhaka,,Rice Dishes|Indian|Biryani|Asian,3.8,30,50.0,83.0,30.0,23.87650172,90.40622822,"Holding - 916, Hazi Bahar Uddin Market, Near Railgate, Faidabad, Sector - 8, Uttara",1230
oeq3,Shaandar Khichuri & Rice,,Dhaka,,Snacks|Curry|Rice Dishes|Bangladeshi|Asian|Khichuri,3.3,23,50.0,52.0,40.0,23.861315,90.385555,"আহলিয়া মসজিদ, আহালিয়া মসজিদের সামনে আহালিয়া মসজিদের গেটের সামনে দাঁড়াতে হবে, 1230 উত্তরা, ঢাকা, Bangladesh",1230
jee5,Daily Cup,,Dhaka,,Snacks|Italian|Pasta|Mediterranean|Western|Fast Food,4.3,11,50.0,52.0,35.0,23.8643831,90.3903533,"Sector -05, Road-01,house- 27 Connecting road between road -1 and road - 6/A, 1230 Uttara, Dhaka, Bangladesh",1230
srb1,Hot & Steamy - Bangla,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian|Khichuri,4.7,30,50.0,41.0,50.0,23.8647251,90.38266235,"House : Bagan Bari, Pakuria Main Road, Uttara - 14",1230
r7q1,Care Kitchen,,Dhaka,,Snacks|Rice Dishes,4.7,27,50.0,38.0,35.0,23.8646555,90.3865646,"House 24, Road 9, Sector 14, Uttara",1230
y6wf,Chef Kitchen,,Dhaka,,Snacks|Rice Dishes|Fast Food,4.3,30,50.0,38.0,30.0,23.8655809,90.3840992,"Sector 14, Road 23, Jatrabari Road, Pakuria, Beside Daraz Office, Dhaka, Bangladesh",1230
ymbq,Punch Monkey Lazzy Bite,,Dhaka,,Snacks|Beverage|Dessert,4.3,30,50.0,28.0,30.0,23.8692645,90.38514865,"Chefs Corner, House-81 Gausul Azam Ave, Dhaka 1230, 1230 Uttara, Dhaka, Bangladesh",1230
crd8,Crispy Corner,,Dhaka,,Curry|Rice Dishes,2.0,5,50.0,41.0,30.0,23.864707,90.3865154,"House-25, Road-09, Sector-14, Uttara -1230, Dhaka",1230
k7ax,Crustease,Crustease,Dhaka,,Snacks|Italian|Mediterranean|Pizza|Western,4.3,30,50.0,38.0,30.0,23.86540725,90.38487855,"House-6, Road-22, Sector 14. Uttara, Dhaka
near Al-Manar Adarsho Qawmi Madrasa",1230
