code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
uzzk,94398,Sichuan Hotpot,,Dhaka,Baridhara,0.37,Snacks|Chinese|Asian|Dumpling,4.6,44,50.0,0.0,40.0,23.805322,90.421653,"Baridhara Diplomatic zone, Sarwardi aveneu , house no 55 , lift 5",1212,https://foodpanda.com.bd/restaurant/uzzk/sichuan-hotpot
biq9,44519,Delifrance - Gulshan 2,Delifrance Gulshan Avenue,Dhaka,Gulshan,0.99,Cakes|Snacks|Beverage|Dessert|Western,4.9,2766,50.0,0.0,30.0,23.78918155,90.4165545,"Gulshan Avenue,  Plot#114 ,1st Floor Casablanca , Gulshan Avenue, Gulshan-2",1212,https://foodpanda.com.bd/restaurant/biq9/delifrance-gulshan-2
k473,77324,Cha Bazi,,Dhaka,Gulshan,0.9,Juice Corner|Beverage,3.0,9,50.0,0.0,30.0,23.77258053,90.41826418,"Bir Uttam AK Khandakar Road, KHO 33 B ,Titash road, Dhokkhin Badda New Road, Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/k473/cha-bazi
f03s,65053,Lueur Bakery,Lueur Bakery,Dhaka,Gulshan,0.31,Cakes|Snacks|Rice Dishes|Beverage,4.6,146,50.0,0.0,35.0,23.7821409,90.41670545,"57 Gulshan Ave, Dhaka, Road No: 23. Beside Bank Asia.",1212,https://foodpanda.com.bd/restaurant/f03s/lueur-bakery
jgl7,77577,Fish N Grill,,Dhaka,Baridhara,0.82,Turkish|Kebab|Curry|Middle Eastern|Beverage|Soups|Seafood,4.0,11,50.0,0.0,45.0,23.8001977,90.4118299,"Floor-2nd, House-175A, Road-61, Gulshan Avenue, Gulshan-2, Dhaka, Bangladesh",1212,https://foodpanda.com.bd/restaurant/jgl7/fish-n-grill
gml3,103743,Korean Grill,,Dhaka,Baridhara,1.36,Snacks|Rice Dishes|Soups|Noodles|Korean|Asian,3.9,17,50.0,0.0,50.0,23.7935487,90.4226625,"Kh/68,Santi Society, Shajadpur, Gulshan 2,Dhaka 1212.",1212,https://foodpanda.com.bd/restaurant/gml3/korean-grill
jx00,99006,Meat Story - Banani,,Dhaka,Banani,0.41,Steak|Rice Dishes|Beverage|Meat,4.4,34,50.0,0.0,45.0,23.79076,90.4041241,"House-32, Level-5, Road-11, Block-G, Banani, Dhaka-1213",1213,https://foodpanda.com.bd/restaurant/jx00/meat-story-banani
p3ea,24879,Siyam Biryani House,Siyam Biryani House,Dhaka,Mohakhali,0.21,Rice Dishes|Indian|Biryani|Asian,3.2,4649,50.0,0.0,40.0,23.7797929,90.4054026,"Shop No- 8, G.P. Cha-14, Haque Kacha Bazaar, Mohakhali Model High School Road",1212,https://foodpanda.com.bd/restaurant/p3ea/siyam-biryani-house
adzq,43651,Dine A Chaap - Gulshan,Dine A Chaap - Gulshan,Dhaka,Gulshan,0.56,Turkish|Kebab|Middle Eastern,4.2,336,50.0,0.0,50.0,23.7813578,90.4138425,"16/A, House #02 ,Hotel Bengal canary park (opposite side) . Gulshan-1 . Dhaka",1212,https://foodpanda.com.bd/restaurant/adzq/dine-a-chaap-gulshan
hlup,45988,Seoul Street,Korean Bulgogi Bar,Dhaka,Baridhara,1.35,Korean|Asian,4.1,168,50.0,0.0,50.0,23.7936269,90.4227081,"Kha-66 Shanti Society ( Beside of Indian Embassy & Body Shave Zone Goli, Gulshan-2 Dhaka-1212",1212,https://foodpanda.com.bd/restaurant/hlup/seoul-street
