vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
mqt9,15,3.26,18,There is no chicken in the corn soup. I gave it for a patient. And there was no chicken only the eggs and corns. You should write no chicken piece is available here. ,Shagufta,
vopm,30,3.53,43,motomoti 👍🏻,md,
w1ng,12,3.48,17,ঠান্ডা এবং বাসি খাবার দেয়া হয়েছে।  দুঃখজনক মিঠাই এর সার্ভিস এবং কোয়ালিটি 😭,Morsheda,
dz6a,30,3.3,41,"the cake was fresh and rich in chocolate, not too sweet, just the perfect amount. would recommend, way better than normal chocolate cakes",Samin,
u42i,18,2.69,18,"chicken bao kacha chilo literally 🤮🤮. potato chanachor age khub vallagto etao kmn lage ekhon r chicken bao , chicken naan k paper bag e dey! it wasn't presentable dekhei dustbin e felte icha korcilo",Tania,
po9m,16,4.33,35,"All the items were amazing! We really enjoyed every dish. Loved the chicken chop specially, and honestly one of the best value for money meals we’ve had ❤️",Simi,
kcm6,30,3.05,38,"খেতে মোটা মোটি, কিন্তু ডিগ্যারেশন সুন্দর 🌿",Md,
u137,25,2.97,25,khubi baje kcelo ......beef deche 4pic 3rd class 😞,md,
uh8j,4,4.25,6,Not a good Flavor ,JUBAIR,
u5ot,30,2.65,29,"worst quality,  service is very bad",Shad,
e45a,30,2.97,38, খিচুড়ি তে মাংস দিছেন এক পিস একদম বাজে ছিল ,Md,
innd,23,2.69,21,"Worst tasting pasta ever. They used low quality pasta,it tasted sour and it had no cheese no salt . Whoever made this pasta should stop working here. The owner should look into this matter. 23.04.2026",Aminul,
znm0,30,3.43,45,well the crust fell apart but it was good for the price.,Raicha,
zp26,25,3.32,36,packeging is too much poor.rider behaviour is bad,Shakila,
l73e,11,3.77,16,the fried rice item was one of thest of my life😍 i have ordered one more time from here. but this was thest of the best.🥰,Hasan,
auf5,2,4.33,4,Average ,Nirzona,
x4if,30,3.49,43,"I paid for 7 pieces, they give me 5. And the taste is below average. ",Zara,
w632,30,3.97,53,যারা এই মোমো কে এত্ত ভালো ভালো রেটিং দেন তারা হয়ত জীবনে ভালো মোমো খান নি। নয়ত ভিতরে সয়াবিন দেয়া মমো কেনো এত রেটিং আমার বুঝে আসে না। মাশরুম মমো তে মাশরুমের চিহ্নও ছিলো না। বার্বিকিউ তিতা হয়ে গেছিলো।,Nure,
ejx2,9,2.14,3,Un cooked fries nd bad tasting sauce,Shihab,
rh7g,1,2.33,1,"Food was horrible! The fuchka shells were old and stale, the filling was dry, the টক was average. The sweet corn tasted like they mixed sugar with water and corn starch and added it to the corn. Yuck!",A,
yn3k,30,2.92,34,ভাই প্লিজ মমো তে ঝাল কম দিবেন! এক পিস খেয়েই নাগা মমো নাকি রেগুলার বুঝতে পারিনা এত ঝাল,Nure,
oy5p,30,2.72,28,"Quantity was good,taste was good as well",Anowar,
gn0j,19,3.37,30,Good selection in the silver box at a reasonable price. ,Rezwan,
nsgg,23,3.43,33,alhamdulillah ,Md,
j5aq,23,3.66,36,so so,Snigdha,
dif1,9,3.67,14,"Taste was very good, warm food, but pricey though hough according to quantity. ",Esrat,
h6b7,23,3.1,22,bread was hard,Joyera,
omz6,30,3.64,48,bhat ta pocha shuru korsilo emon type smell chilo,Naruto,
byia,4,3.0,5,Packaging khub e kharap,Foyaz,
vlh9,2,1.0,0,ordered 4 sgwarmas . each costing 100 taka . but inside the shwarma was only a bunch of mayonnaise and cucumber along with tiny bits of chicken . Didn't taste good.,Farhana,
tcfo,5,2.69,5,বাজে বার্গার এই বার্গার খাওয়া মানে টাকা নষ্ট করা এই বার্গারের মধ্যে চিজ নাই মাংস নাই ছবিতে যা দেখাইছে পুরাই আলাদা ৪০ টাকা বাজারের কথা বলে ১০০ টাকা নিয়েছে হুদাই। কেউ নিবেন না। বাঁশি বার্গার ,no,
kgb8,28,3.11,34,অর্ডারের ২ টা পাতলা নান দেয় নাই,kabir,
nxah,1,5.0,3,perfect ,HITOMI,
jrbf,9,2.09,6,nice,MdShajdul,
qtjj,26,3.09,32,একেবারে বাঝে খাবার ছিলো এইগুলো,Abu,
dyuo,8,3.18,12,faltu rider.  ami order cancel korsi. but uni eikhane dekhaise delivery kora hoise.  vulval picture slow kore dekhaise order delivery kora hoise. ,Iffat,
nlge,30,2.32,26,They always take too much time to deliver food,Anik,
v998,30,3.64,41,Taste & Quality & Quantity First Class ,Engr.,
h73g,30,3.22,40,Tehari ta sei moja chilo,Maliha,
ljyc,1,2.0,0,"প্রথম অর্ডার, সন্তুষ্ট হতে পারলাম না কারণ দামের তুলনায় পরিমাণ অস্বাভাবিক কম। খাবারের স্বাদ মোটামুটি।প্রতিটা খাবারে লবণ বেশি। গরুর মাংস দুই পিস এক পিস চর্বি দিয়েছে। এই দামে প্রতারণা এটা।",Rafida,
ocjq,17,3.75,26,tasty,Galib,
nxtg,30,3.34,37,"I told you to give mayo and other sauces with this order, but you didn't give a single one! Specially where there is Dory & Fries at my order along with other items! It's totally unforgivable!",Hossain,
z09z,18,3.74,28,"একদম ফ্রেশ বাসার খাবার,,ভাতের চাল টা পারফেক্ট ",mayfkatul,
ya5c,1,4.0,2,nice,Iffat,
ntei,1,4.33,3,rice taratari ses Holo kamne??,Bijoy,
vwsg,8,2.58,6,The packaging needs to be improved—food spilled from all the boxes. The delivery person also needs to be more careful.,Riyad,
mxe4,30,4.02,45,alhamdulillah valo servis,Sayeed,
t7qs,30,2.12,19,double dite bole chilam moglai but single diyece😒,Syeda,
sled,9,3.0,10,"Packing is so baad, we love the food but it ends up becoming worst to eat at that time",Radhika,
qjum,3,2.14,1,মোটামুটি চলে।তেমন আহামরি কোন টেস্ট না কাজ চালানোর জন্য ঠিকাছে। রেটিং দিব 4/10,Zasia,
fqbl,30,3.11,30,drink not packaged properly ,Zeinab,
fvla,1,3.67,1, খাবারটা মোটামুটি ভালই ছিল কিন্তু গ্রেভিটা আরেকটু  ঘন হওয়া উচিত ছিল ,Arif,
zl8d,30,3.26,38,it was good but little cold,Eity,
xrdo,30,3.95,54,Good 1 ,Rezwan,
lxrx,17,3.6,28,"worses test,ever,the meat was test like yukkk!!!,its not haleeem its something shit!like ",Makshuda,
stbz,7,3.0,10,Meat Box Regular er jaygay Small disen,Abdur,
ux6b,30,3.2,37,those tk190 shawarmas are NOT worth the money. Totally clickbait picture. Taste was so-so and I have had better at tk.100.,Naylah,
vzq4,1,3.0,2,good,Abdullah,
va3r,2,3.0,3,Pocha shokto pudding manush kmne dei iftarir time e ??? Business owner der to bibek thake . Allah r kache ki jobab diben ? Worst worst r jibon s o order korbo na,Nuzhat,
lw1v,1,3.67,1,taste Average.. Dim vuna ta beshi patla na hoye ektu makho makho hole test valo hoto. ,Sheikh,
j516,16,4.24,36,fried chicken always best but burger er patty ta onek besi salty chilo echara sob thik chilo.,Sajjad,
slbo,30,2.79,32,"Excessive oily, oil from the wrap leaking everywhere, doesn’t taste good either, one if the worst i had, waste of money",Masruk,
aa6g,6,3.93,11,They should learn how to prepare juices first. Absolutely trash,Nahidul,
bv80,7,3.94,11,unader mint lemonade always best..bt jam juice oirkm valo lage nai,Tanzin,
y74n,19,3.12,27,পঁচা-গন্ধ খিচুড়ি দিয়েছে। ছিঁ!,MD.SADEQUR,
p0gc,11,2.56,9,"Nice box, presentable ",Karina,
cd4o,30,4.01,56,"best,Keep it up ",Onoshi,
pbde,24,3.47,34,love their have been ordered from the for the past year or so but recently they took so long i payed extra but my order came in an hr ghor theka restaurant is just walking distance disappointed ,Raihana,
wrkz,28,3.99,48,I always order for Chawmein / Dragon Noodles. Today I tried Chicken momo & Fries. Momo was really tasty and loved the chili oil.  Also Fries was crispy and honestly it’s good for two persons. ,FARABEE,
s2yv,18,3.1,18,quality of kababs has decreased ,Shakhi,
lfxp,12,3.89,17,Packaging needs improvement,Tashfin,
vloi,11,2.93,14,Delivery boy demands extra money for his father’s illness ,Sarah,
iork,10,3.67,17,the Brookie was hard as a rock and tasted like freezer er gondho. The muffin was so artificial tasting I couldnt even finish it . Do not recommend. The only thing good was their baklava🙏,Jinatul,
xmxs,8,4.71,19,The food is very nice.,Bijon,
sdaw,15,2.5,8,"Ami order korsilm akta box, amake misti diyechen onno kichu. Tar moddhe 2 ta misti kom disen. Ajob to",Sunyat,
ann2,2,5.0,6,darun,Asik,
se7b,30,2.24,23,Chicken fry is totally burnt ,Sayedatun,
fdg4,30,3.64,41,always good,Lipi,
wnfx,5,3.0,6,akta product pai nai,Fahad,
rw6v,22,3.45,34,"Chicken fry ta double veje deya, not freash",Saj,
oxgq,30,3.4,46,Crispy fried chicken was too oily. It wasn’t fresh. Very less amount of chicken and sausage in Chick N Sausage compared to price. Need improvement. ,Atoshi,
gpyi,4,1.0,0,I ordered mango milk shake and was delivered just mango juice,Ameena,
p3qc,9,3.17,12,"The beef was well-seasoned, but the food had gone cold by the time the delivery arrived. Reasonably good fried rice, too. ",Hira,
tydb,3,1.0,0,onik bajay🤮,dilshan,
kjqe,11,2.57,11,"Wow, I had no idea cardboard with cheese could taste this amazing!!!!!!!
",Roza,
vgjy,30,3.57,43,dry old grill,Ishtiaque,
zabg,6,1.8,3,All very good ,Nusrat,
nq23,5,3.73,7,thank you ,Mohammed,
itv4,25,3.56,41,"অনেক টেস্টি হয়েছে মিটবক্সটা,, ধন্যবাদ এরকম ভালো খাবার দেওয়ার জন্য,, ",Zara,
yri0,30,2.75,30,valo hoy nai temon,Shariar,
dzmu,14,3.54,24,The french tast was super cold as ice and their special sandwich is specifically delicious for dogs to eat. Super cool for insects to crawl on. ,ABU,
j8ui,30,2.88,31,I ordered again after a long time.,Sumon,
m9to,4,4.2,8,Awesome,Rezwan,
hj5c,1,2.33,1,"packaged hot tea using plastic cups and cling foil. Tea didn't smell of tea but rather of melted plastic. If you are operating as a restaurant,  better invest some money on packaging!",Sifat,
pkiv,30,3.56,45,The food is frozen,Payel,
sptm,6,3.27,8,Packaging wasn’t good. It dropped half of my coffee.,Md,
t86i,30,4.29,61,very oily,Ataur,
qkwe,2,4.33,4,"দাম হিসেবে ইফতার কম্বো টা পরিমাণে স্যাটিসফায়িং ছিলনা, আর তেহরির পরিমাণ আগের তুলনায় কম ছিল!",Tana,
f7te,5,3.57,8,very bad. 6pcs momo were very small in size.20% ingredient.bad packaging . Bad taste. Only sauce was good.over priced.,Md,
s68v,30,3.51,43,Good 👍🏻 ,Mushfika,
n3i9,8,3.5,12,"লাউ চিংড়ি তে চিংড়ি পেলাম না। পাঙ্গাস মাছ থেকে কাচা মসলার গন্ধ যায়নি, বোধহয় তাড়াহুরো করে রানা করা, খেতে একেবারেই সুস্বাদু না।  ",Rumman,
geef,3,2.14,1,Taste is not good at all!,Matiul,
k20q,2,1.8,1,"purchased chamcham from your shop, and unfortunately, the product did not meet expected quality standards. The chamcham had an unpleasant smell and an off taste, ",Hasan,
rd27,1,3.0,0,low quantity ,Maruf,
xrb5,11,3.3,15,Parcel are not match with order ....it's not good.,Shuvanroy,
npsr,5,3.0,6,The food wasn't fresh. ,Faozia,
y661,30,3.14,37,The pudding was awful ,Brishti,
ia82,23,3.22,31,"Good, but appreciate more if the discount applied ",Ahliya,
pxxc,6,2.41,5,amar life emon kharap pizza eto low quality eto baje pizza dekhi nai,Rajib,
