code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
g5ur,53643,Orient Food Products-Rail Road,,Jessore,Jessore Sadar,0.59,Chicken|Snacks|Meat|Fast Food,4.2,936,50.0,0.0,35.0,23.1643857,89.2134125,"M K M TOWER, 19, RAIL ROAD (BESIDE OF SONALI BANK CORPORATE BRANCH), JESSORE",7400,https://foodpanda.com.bd/restaurant/g5ur/orient-food-products-rail-road
ovoq,71768,Kacchi Bhai - Jessore,Kacchi Bhai,Jessore,Jessore Sadar,0.68,Curry|Rice Dishes|Indian|Biryani|Asian,4.6,2536,50.0,0.0,20.0,23.16141256,89.21190402,"Seven Heaven (Ground Floor), 3 Rail Road, Jessore-7400.",7400,https://foodpanda.com.bd/restaurant/ovoq/kacchi-bhai-jessore
hbn1,30565,Cafe Mariot,Cafe Mariot,Jessore,Jessore Sadar,0.6,Snacks|Fast Food,4.7,5540,50.0,0.0,30.0,23.163119,89.2127663,"14, Rail Road 7400 Jessore, Khulna, Bangladesh",9000,https://foodpanda.com.bd/restaurant/hbn1/cafe-mariot
u5pd,13989,Orient Food Products,,Jessore,Jessore Sadar,0.46,Chicken|Snacks|Meat|Fast Food,4.0,2398,50.0,0.0,25.0,23.1673801,89.21245975,"Siraj Tower, 1st floor. H.M.M Road",7400,https://foodpanda.com.bd/restaurant/u5pd/orient-food-products
n418,62950,Tawaz,Tawaz,Jessore,Jessore Sadar,0.59,Fast Food,4.6,1241,50.0,0.0,25.0,23.1631627,89.2127251,"Near Cafe Mariot, 14 Rail Rd, Jessore	7400",7400,https://foodpanda.com.bd/restaurant/n418/tawaz
fkbv,99933,Roadside Adda,,Jessore,New Market JS,0.05,Snacks|Burgers|Western,4.3,219,50.0,0.0,25.0,23.16652549,89.20713866,"Paris Road, Sadar, Jashore",7400,https://foodpanda.com.bd/restaurant/fkbv/roadside-adda
t3rs,7782,Addakhana - Jessore,Addakhana - Jessore,Jessore,Jessore Sadar,0.5,Chicken|Snacks|Rice Dishes|Meat|Fast Food|Faluda,4.2,3651,50.0,0.0,25.0,23.16192453,89.20762925,"40 Mujib Sorok, Opposite of Circuit House Jessore",7400,https://foodpanda.com.bd/restaurant/t3rs/addakhana-jessore-t3rs
t9lu,8696,Cafe Zot-Pot,Cafe Zot-Pot,Jessore,Jessore Sadar,0.36,Burgers|Western|Fast Food|Faluda,4.4,4597,50.0,0.0,20.0,23.163213,89.207527,"30, Mujib Sarok, Jessore",7400,https://foodpanda.com.bd/restaurant/t9lu/cafe-zot-pot
kg3z,39192,Haji Biryani House - Jashore,,Jessore,Jessore Sadar,0.53,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,1.8,128,50.0,0.0,20.0,23.165315,89.21313485,"Opposite Of Mid Town, M.K Road, Sadar, Jessore",7400,https://foodpanda.com.bd/restaurant/kg3z/haji-biryani-house-jashore
w23d,91150,Luxury Dine,,Jessore,New Market JS,0.09,Snacks|Curry|Rice Dishes|Beverage|Meat|Chinese|Burgers|Western|Asian|Faluda,3.9,44,50.0,0.0,30.0,23.1667636,89.2061565,"Burhan Shah Rd, Sadar, Jashore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/w23d/luxury-dine
t7be,7965,The Chillux,The Chillux,Jessore,Jessore Sadar,0.35,Chicken|Rice Dishes|Meat|Fast Food,3.5,3812,50.0,0.0,25.0,23.1670294,89.21147655,"165, H.M.M Road, NK Arcade, Jessore",7400,https://foodpanda.com.bd/restaurant/t7be/the-chillux
m974,58556,Pizzaology - Jessore,,Jessore,Jessore Sadar,0.33,Italian|Mediterranean|Pizza|Western|Fast Food,3.7,1742,50.0,0.0,35.0,23.16576365,89.21121615,"Beside Public Works Sub-Division-1, Jessore, Ismail Bhaban, Maulana Mohammad Ali Rd, Jessore",7400,https://foodpanda.com.bd/restaurant/m974/pizzaology-jessore
jcv9,106460,Cafe Bypass,,Jessore,Jessore Sadar,0.5,Chicken|Snacks|Rice Dishes|Meat,4.0,45,50.0,0.0,25.0,23.1619139,89.2076064,"40 Mujib Sorok, Opposite of Circuit House Jessore ( same location of Addakhana)",7400,https://foodpanda.com.bd/restaurant/jcv9/cafe-bypass
zfkf,99801,Freshly Baked- Live Bakery,,Jessore,New Market JS,0.07,Snacks|Bakery,4.7,87,50.0,0.0,20.0,23.1663908,89.2069951,"Paris Road, Jashore, Shop-40",7400,https://foodpanda.com.bd/restaurant/zfkf/freshly-baked-live-bakery
t0gi,9519,Dhaka Chotpoti & Fuchka House,Dhaka Chotpoti and Fuska House,Jessore,Daratana,0.32,Chotpoti & Fuchka|Bangladeshi|Doi|Asian,2.9,284,50.0,0.0,20.0,23.16434735,89.2055445,"In front of Shilpokola Academy, Pouropark, Jessore",7400,https://foodpanda.com.bd/restaurant/t0gi/dhaka-chotpoti-and-fuchka-house-t0gi
kanw,68443,Tasty Treat - M.K Road,Tasty Treat,Jessore,Jessore Sadar,0.43,Cakes|Dessert|Doi|Fast Food,4.6,614,50.0,0.0,20.0,23.1655034,89.2122002,"28-29, R.S Tower, MK Road, Jessore",7400,https://foodpanda.com.bd/restaurant/kanw/tasty-treat-m-k-road
v169,122007,Food Adda,,Jessore,New Market JS,0.04,Snacks|Burgers|Western|Fast Food,4.4,30,50.0,0.0,30.0,23.16668358,89.20714869,"opposite of DC office ,Jashore",7400,https://foodpanda.com.bd/restaurant/v169
bpxn,79211,Khola Hawa,,Jessore,Daratana,0.87,Snacks|Curry|Rice Dishes|Beverage|Dessert,3.3,213,50.0,0.0,40.0,23.1715833,89.19703906,"1 No Airport Road, Opposite of SP Bungalow, Jessore Sadar, Jessore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/bpxn/khola-hawa
hgzt,62450,Kacchi Chai,Kacchi Chai,Jessore,Jessore Sadar,2.14,Rice Dishes|Indian|Biryani|Asian,1.2,282,50.0,0.0,75.0,23.14768085,89.2128431,"Near Huda memorial School Point, Eshak Shorok. Jashore.",7400,https://foodpanda.com.bd/restaurant/hgzt/kacchi-chai
t5rq,9687,Family Dine,Family Dine,Jessore,Jessore Sadar,0.36,Rice Dishes|Fast Food,4.5,1042,50.0,0.0,20.0,23.163213,89.207527,"30, Mujib Sarok, Jessore",7400,https://foodpanda.com.bd/restaurant/t5rq/family-dine
p926,95233,Sanjida Fastfood,,Jessore,Jessore Sadar,0.87,Cakes|Snacks|Faluda,2.5,85,50.0,0.0,35.0,23.16765565,89.21653415,"(লোন অফিস পাড়া), house no.26, 7400 Jessore Sadar, Jessore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/p926/sanjida-fastfood
ofy1,61730,Quick Bites,,Jessore,Daratana,0.34,Burgers|Western|Fast Food,3.7,33,50.0,0.0,30.0,23.16413907,89.20560751,"Near Shilpokola Academy, Jessore Sadar, Jessore",8000,https://foodpanda.com.bd/restaurant/ofy1/quick-bites-ofy1
l6ml,85791,Red Town - Thai Chinese Restaurant,,Jessore,New Market JS,0.04,Snacks|Burgers|Western,2.9,19,50.0,0.0,25.0,23.1672983,89.2071437,"C.C.T.S School (1 st Flood), Opposite of Collectorate Building, Doratana, Jashore",7400,https://foodpanda.com.bd/restaurant/l6ml/red-town-thai-chinese-restaurant
t5en,12141,Sobuj Hotel & Sweets,,Jessore,Chowrasta,0.47,Snacks|Sweets|Dessert,4.3,242,50.0,0.0,20.0,23.17030507,89.20336755,"Chudanga Bus Stand, Kazipara Road, Sadar, Jessore.",7400,https://foodpanda.com.bd/restaurant/t5en/sobuj-hotel-and-sweets
t5on,8107,The Music Cafe Jessore,The Music Cafe,Jessore,Daratana,0.86,Western|Fast Food,2.0,2846,50.0,0.0,35.0,23.1588074,89.2062072,"7400, Mujib Sorok, Jessore",7400,https://foodpanda.com.bd/restaurant/t5on/the-music-cafe-jessore
epnj,106409,Elegant Baking,,Jessore,Chowrasta,0.55,Cakes|Dessert,5.0,30,50.0,0.0,20.0,23.17179572,89.20295336,"House no. 4/A, Puratan kashba kazipara Jessore, 7400 Jessore Sadar, Jessore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/epnj/elegant-baking
u0y2,79044,Elegance Restaurant & Party Center,,Jessore,Jessore Sadar,0.59,Curry|Rice Dishes|Chinese|Asian,3.9,68,50.0,0.0,30.0,23.1630228,89.2125691,"14 Rail Road, Beside Ad-din Hospital, Sadar, Jessore.",7400,https://foodpanda.com.bd/restaurant/u0y2/elegance-restaurant-and-party-center
n0rx,76795,Cafe Astoria,,Jessore,Jessore Sadar,0.6,Snacks|Rice Dishes,2.9,82,50.0,0.0,30.0,23.16310117,89.21272338,"14 Rail Road, Sadar, Jashore",7400,https://foodpanda.com.bd/restaurant/n0rx/cafe-astoria
y1nd,25116,Mom's Kitchen - Jessore,,Jessore,Jessore Sadar,2.14,Fast Food,1.2,430,50.0,0.0,75.0,23.14768595,89.2128609,"Shankarpur Golpata, Ishaq Road, Ward No. 7, (Home name: Sufia Vila) (House Number: 1501), Beside Shankpur Golpata Mosque",7400,https://foodpanda.com.bd/restaurant/y1nd/moms-kitchen-jessore
qzyk,69208,Shruti's Kitchen,,Jessore,Daratana,1.01,Snacks|Curry|Rice Dishes,3.4,149,50.0,0.0,30.0,23.1721072,89.1956284,"Arobpur Biman Bondor Sarok, Puraton Kosba, infront of SP Banglo, Gorapara Mondir Back side, Jessore",7400,https://foodpanda.com.bd/restaurant/qzyk/shrutis-kitchen
v5vv,128819,Shila Homemade Cake,,Jessore,Palbari,1.3,Cakes,0.0,0,50.0,0.0,35.0,23.1682204,89.2216001,"Metho pukur par,1no.word,purbo barandi para,Jessore",7400,https://foodpanda.com.bd/restaurant/v5vv/shila-homemade-cake
iceu,103569,Rashida Food Corner,,Jessore,Jessore Sadar,0.87,Snacks,3.5,34,50.0,0.0,35.0,23.167595,89.2164749,"লোন অফিস পাড়া, প্রাণিসম্পদ ভবনের পিছনে।, House 26, 7400 Jessore Sadar, Jessore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/iceu/rashida-food-corner
pomh,77736,Patapiri,,Jessore,Daratana,1.03,Snacks|Rice Dishes,0.0,0,50.0,0.0,35.0,23.17419465,89.1983228,"Police Line Road, Police Line Rd Moriom palace jessore sodor policeline, 7000 Jessore Sadar, Jessore, Bangladesh",7000,https://foodpanda.com.bd/restaurant/pomh/patapiri
uz1w,93102,Cakes By Marufa,,Jessore,Jessore Sadar,1.55,Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,23.1655788,89.2232685,"Barandi Mollapara Government Primary School, Mollapara Rd, 7400 Jessore Sadar, Jessore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/uz1w/cakes-by-marufa
nowm,78741,Ghoroa Khabar,,Jessore,Daratana,2.68,Snacks|Dessert,0.0,0,50.0,0.0,35.0,23.1420719,89.2000974,"Jashore, Chancra Bazar mor, 7400 Jessore Sadar, Jessore, Bangladesh",7400,https://foodpanda.com.bd/restaurant/nowm/ghoroa-khabar-nowm
jasu,77208,Kacchi Dine - Jashore,Kacchi Dine,Jessore,Jessore Sadar,0.37,Curry|Rice Dishes|Indian|Biryani|Bangladeshi|Asian,4.4,73,50.0,0.0,35.0,23.1639683,89.2106386,"Khokon Tower, Gurudas Line, Mikepotti, Jessore",7400,https://foodpanda.com.bd/restaurant/jasu/kacchi-dine-jashore
jbeq,128749,Taste Me,,Jessore,Daratana,0.63,,0.0,0,50.0,0.0,35.0,23.1632596,89.1975758,যশোর,7400,https://foodpanda.com.bd/restaurant/jbeq/taste-me-jbeq
