code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
mycu,71974,Domino's Pizza - Khulna,Domino's Pizza,Khulna,Shibbari,1.41,Italian|Mediterranean|Pizza|Western,4.6,562,0.0,39.0,25.0,22.813337,89.5560106,22 FARAJI PARA ROAD,6000,https://foodpanda.com.bd/restaurant/mycu/dominos-pizza-khulna
ayqg,62003,Muslim Biryani,Muslim Biryani,Khulna,Khulna Sadar,1.32,Snacks|Rice Dishes|Indian|Biryani|Asian,4.1,554,50.0,0.0,80.0,22.856473,89.545365,"Beside S- Line Baitulkeram Jame Masjid,  H-S66, R-146, Housing State, Khalispur, Khulna",9100,https://foodpanda.com.bd/restaurant/ayqg/muslim-biryani-ayqg
d8ep,33070,Sultan's Biryani,Khulna Grand Darbar - Biryani Mahal,Khulna,Khulna Sadar,1.32,Rice Dishes|Indian|Biryani|Asian,4.0,1290,50.0,0.0,85.0,22.8564777,89.5454328,"House No: S-66/67; Road No: R- 146 Housing Bazar Khalishpur Khulna, 9100",9100,https://foodpanda.com.bd/restaurant/d8ep/sultans-biryani
mcnr,109962,Delight Oven,,Khulna,Khulna Sadar,0.37,Rice Dishes|Dessert|Bangladeshi|Asian,3.8,9,50.0,0.0,80.0,22.8488254,89.54131915,"ROYEL TOWER, Flat no: D-3, Abashik plot-5/4 west zone, block - D, Road:161,Police station: Khalishpur,Khalishpur Housing Estate.",9000,https://foodpanda.com.bd/restaurant/mcnr/delight-oven
y8fh,79173,Shokher Kitchen,,Khulna,Sonadanga,0.29,Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,22.8247809,89.5379687,"Sonadanga Abashik Area, 13 number road / 127/A1, 9000 Sonadanga, Khulna, Bangladesh",9000,https://foodpanda.com.bd/restaurant/y8fh/shokher-kitchen
ddna,109392,Khulna Rasoi,,Khulna,Shibbari,1.97,Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,22.8103584,89.5650333,"Yusuf Row, KD Freelancing Aid - The Best Freelancing & Outsourcing Training Center, 18,yousuf Row, Boro MIrzapur, khulna 9100,khulna Bangladesh",9100,https://foodpanda.com.bd/restaurant/ddna/khulna-rasoi
qkcd,78118,Ma Kitchen,,Khulna,Sonadanga,2.3,Curry|Rice Dishes,0.0,0,50.0,0.0,35.0,22.8025277,89.5429147,"Khorshed Nagar Road - 1, Khorshed Nagar Rd - 1, 9100 Khulna Sadar, Khulna, Bangladesh",9100,https://foodpanda.com.bd/restaurant/qkcd/ma-kitchen-qkcd
rpge,77669,Beef Buzz,,Khulna,Shibbari,3.18,Bangladeshi|Asian,1.5,5,50.0,0.0,35.0,22.8020462,89.5729567,"Khan Jahan Ali Rd 204 17/2 tootpara eastlink road, Khulna, 9100 Khulna Sadar, Khulna, Bangladesh",9100,https://foodpanda.com.bd/restaurant/rpge/beef-buzz
wjwa,108333,Wood Cafe,,Khulna,Boyra,1.21,Snacks|Dessert|Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,22.83618626,89.5333812,"26/3 Boyra Central Road, Khulna",9000,https://foodpanda.com.bd/restaurant/wjwa/wood-cafe
u2sb,17582,Rany's Mom Kitchen,,Khulna,Khulna Sadar,1.32,Snacks|Rice Dishes|Indian|Biryani|Asian,4.4,1962,50.0,0.0,35.0,22.85649165,89.54534595,House No: S-66/67; Road No: R- 146 Housing Bazar Khalishpur Khulna,9000,https://foodpanda.com.bd/restaurant/u2sb/ranys-mom-kitchen
l1cq,65197,Bangali Bhoj,,Khulna,Khulna Sadar,1.32,Curry|Rice Dishes|Bangladeshi|Asian,3.8,855,50.0,0.0,35.0,22.8564777,89.5454328,"House No: S-66/67; Road No: R- 146 Housing Bazar Khalishpur Khulna, 9000",9000,https://foodpanda.com.bd/restaurant/l1cq/bangali-bhoj-l1cq
