vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
fa7p,30,3.87,53,খাবার ভালো কিছু কিন্তু গরম করে দেয়া হয়নি। কোয়ালিটি ক্রিসপি চিকেন ছিলো সাথে আর ও সালাত অ্যাড করলে মজা হবে।,AL,
t5jg,16,2.71,17,খুবই বাজে। ,Monir,
z3m9,30,3.42,45,Fresh & Tasty,CB,
h7jj,30,3.72,47,ঝাল বেশি ,Sohel,
d8ep,30,3.24,40,একদম ফালতু খাবার খাবারের ভিতরে মাছি পোকা ছিল খেতেই পারিনি ফালতু ,sharlok,
xdap,1,2.33,1,"চরম বাজে খাবার।
মেনুর ছবির সাথে আসল খাবারের কোনো মিল নাই।
",nur,
n762,30,3.37,42,so so,Shamima,
a2ko,30,3.72,47,"very goood
",Hami,
f2ul,22,3.0,27,চিকেন ভালো রাইস ভালো বিরানির স্বাদ ভালো। শুধু একটাই সমস্যা সেটা হচ্ছে কাঁচা মরিচ টা ছিল পোকা,Kaushik,
ddna,1,4.33,3,খবর ভালো টেস্টি আছে এবং গরম ছিল ধন্যবাদ আপনাদের,neil,
h16k,1,2.33,0,"দুইটা স্টার কম দিলাম শুধু রাইডারের জন্য রাইডারের ব্যবহার দেখে মনে হয় সে একজন নবাবজাদা, বাসার সামনে না এসে রাস্তার মাথায় দাঁড়িয়ে বলে এখানে আসেন, খাবারগুলো আলহামদুলিল্লাহ ভালো ছিল",Ara,
vskg,4,1.8,2,একদম বাজে খাবার পুরো ঠান্ডা ছিল আর মাংস ছিলই না রাইডার টা অনেক ভালো ছিলো ,Md,
cu27,30,2.61,24,"মাংসো সিদ্ধো না , টেস্ট খুব জঘন্য 🤮",Amir,
s6ia,30,2.03,17,Worst,Md.,
kuaw,2,5.0,4,"ager theke taste nosto hoye jacche, plz improve korben.. r alada chaler ruti neoar option start koren plz ",Sabina,
dk6z,30,3.18,41,"বার্গারটি অনেক ঠান্ডা ছিল, এবং মুরগির যেই গোস তার পরিমাণটা টাকা হিসেবে খুবই কম",Photo,
k76r,10,2.83,9,"ভাই হাঁসের তো পশম রয়ে  গেছে খাওয়া যাচ্ছে না, ",Cadni,
