code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
a8th,71588,KFC Mymensingh,KFC,Mymensingh,Town Hall,0.4,Chicken|Meat|Burgers|Western|Fast Food|Fried Chicken,4.6,626,50.0,0.0,35.0,24.75646,90.40604,"Ground Floor, 11, CK Ghosh Road, Mymensingh-2200",2200,https://foodpanda.com.bd/restaurant/a8th/kfc-mymensingh
ss6d,112378,Sunduri Restaurant,,Mymensingh,Kachari Bazar,1.05,Curry|Rice Dishes|Bangladeshi|Asian,3.8,57,50.0,0.0,25.0,24.7469289,90.3976507,"Akua Morl Para, Habun Bepari Mor, Mymensingh , Sundhori Resturant, Akua Morolpara Rd, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/ss6d/sunduri-restaurant
pzyj,71056,Azan's Kitchen,,Mymensingh,New Market MS,0.2,Snacks|Bangladeshi|Asian,3.7,288,50.0,0.0,50.0,24.75016255,90.4127201,"Baghmara Rd Elite house -2nd,F 3C, 2200 Mymensingh Sadar, Mymensingh, Bangladesh , Elite house Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/pzyj/azans-kitchen-pzyj
vxvu,77857,Pak Muslim Hotel,,Mymensingh,Town Hall,0.46,Curry|Rice Dishes|Bangladeshi|Asian,3.7,275,50.0,0.0,20.0,24.7570476,90.4078221,"Ganginar Par Rd, Mymensingh opposite of  Khandaker Restaurant, Ganginar Par Road, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/vxvu/pak-muslim-hotel-vxvu
v8jb,92629,Roza Mom's Kitchen,,Mymensingh,Mymensingh Sadar,0.4,Rice Dishes|Bangladeshi|Asian,2.7,13,50.0,0.0,40.0,24.7447581,90.41729285,"৮/ আলীয়া মাদ্রাসা,আদর্শ স্কুল এর পাশে , Mymensingh",2200,https://foodpanda.com.bd/restaurant/v8jb/roza-moms-kitchen
tpfi,77775,Tasty Treat - Mymensingh Medical College Gate,Tasty Treat,Mymensingh,Kachari Bazar,0.58,Cakes|Dessert|Doi|Fast Food,4.5,77,50.0,0.0,35.0,24.7417697,90.4077097,"Tasty Treat - Mymensingh Medical College Gate Opposite side of  Mymensingh Medical College, Medical Road, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/tpfi/tasty-treat-mymensingh-medical-college-gate
oxtg,75872,Shawarma Station,,Mymensingh,Town Hall,0.88,Snacks|Middle Eastern|Shawarma,4.6,60,50.0,0.0,35.0,24.7593625,90.4018723,"Notun Bazar, Razzak Tower, Food Carnival, 4 No Shop, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/oxtg/shawarma-station-oxtg
m4o1,77416,Shibras Kitchen,,Mymensingh,Town Hall,1.12,Curry|Rice Dishes|Bangladeshi|Asian,1.1,8,50.0,0.0,35.0,24.7562274,90.3964839,"Madrasa Quarter Mosque Road, Madrasa Quarter Mosque Rd Sen bari, 2200 Mymensingh Sadar, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/m4o1/shibras-kitchen
vf8q,77909,Mannwa Food Point,,Mymensingh,Town Hall,0.57,Beverage|Fast Food,0.0,0,50.0,0.0,35.0,24.7565242,90.4111645,"Trunk Potti Rd 3rd floor, Hera market, Trank potti, Maymenshing, Bangladesh, 2200 Mymensingh Sadar, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/vf8q/mannwa-food-point
qcxy,77883,Waffle Time - Mymensingh,,Mymensingh,Town Hall,0.24,Beverage|Dessert,4.5,50,50.0,0.0,35.0,24.75278365,90.40460295,"29/C Ram Krishna Mission Rd, Waffle Time Mymensingh, Ram Krishna Mission Road, Mymensingh, Bangladesh",2200,https://foodpanda.com.bd/restaurant/qcxy/waffle-time-mymensingh
