vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
a8th,30,3.14,34,rido rice wasn't very nice that day,Maria,
jcfh,7,3.38,10,অর্ধেক ছিলো কেন?স্বাদ ভালো ছিলো।,Ali,
fvja,3,4.75,8,it's written 'egg fried rice with 2 pcs of fried chicken and chili chicken' on the menu. but i Didn't find any chili chicken in my delivery parcel. except that the the taste was satisfying ,Adiba,
m4o1,6,2.12,4,Khub e baje taste.... rice ar mangsher amount onek kom,Rafiat,
ss6d,21,3.53,31,chicken vuna was the worse ,MD,
oxtg,24,3.43,33,ভালো খাবার আলহামদুলিল্লাহ। ,Tanzeer,
ib4b,2,3.4,3,kacha chawmin. valo na,Raisul,
d6dq,12,2.88,14,meatbox e ajke meat er jaigai ata e silo 😞,Minhamim,
v8jb,5,1.36,1,Quantity low ,Mrinmoy,
mqv3,4,2.45,3,"malai momo 1/10. akdom baje taste. ato baje momo kokhono khai nai. momo e bola jay na eta ke, deeping sauce ta aro bisri taste. burger 3/10. etar ow taste vlo na. total waste of money. ",Nadia,
qcxy,16,3.46,23,luk vhara kore valo ratings dewyse khub ie baje kom dami chocolate chiii thuuuuuu kew kinben nh faltu ekdom mukhe ie dewya jay nh,Fardin,
v7kl,7,2.38,4,"গতকালকে দুইটা কিট নিয়েছিলাম,দুইটা কি কি নষ্ট ছিল। ",Mr,
tpfi,24,2.86,25,সবকিছুই ঠিকঠাক ছিলো। সুন্দর সার্ভিস।,James,
fbg6,14,2.56,14,অর্ডার নিয়ে কেনসেল করলো ,Tonni,
vxvu,30,2.89,35,3rd cls silo sobji ta r roti gulo ,Mysha,
yuxn,3,2.71,3,"We ordered the 1:3 portion of fried rice, but the quantity provided was significantly less than expected — not even equivalent to a 1:2 portion. We are quite disappointed with the experience.",Romana,
pzyj,30,2.41,21,"মান ভালো না,  খুবই বাজে ",moin,
z5d5,30,2.79,32,150 টাকার গরুর মাংসের ঝোলটা তো এই পরিমাণ দিবেন যেন সেটা দিয়ে একটা পরোটা খাওয়া যায়। আবার পরোটা নিলাম চারটা। আর ২৫ টাকা দিয়ে মাত্র এক পিস নারিকেল পিঠা। হতাশ করলেন আর কখনো ভুলেও অর্ডার করবো না।💔,Tarif,
pbct,13,4.0,24,মেওনের আর টক একদম ভালো না👎👎👎👎,Jannatul,
po5m,15,2.95,18,খুবই বাজে। মাংসের তরকারি ঠান্ডা ছিলো।পরিমাণ অনেক কম ছিলো।মাংস ছিলো না শুধু হাড় ছিলো।,Sakibul,
