code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
weez,110282,Purbo Rag Hotel & Restaurant,,Rajshahi,Rajshahi Sadar,1.19,Curry|Rice Dishes|Bangladeshi|Asian,3.3,17,50.0,0.0,30.0,24.36461988,88.59964113,Beside Aziz Canteen,6000,https://foodpanda.com.bd/restaurant/weez/purbo-rag-hotel-and-restaurant
joka,72608,PizzaBurg Rajshahi,Pizza Burg,Rajshahi,Rajshahi Sadar,0.77,Italian|Mediterranean|Pizza|Western,4.7,1799,50.0,0.0,40.0,24.3678666,88.6018822,"""Sara fashion Building,Holding Number: 53/54,United Tower,Rani Bazar,Rajshahi
""",6000,https://foodpanda.com.bd/restaurant/joka/pizzaburg-rajshahi
c7zy,21623,Mexican Spicy - Ranibazar,Mexican Spicy - Ranibazar,Rajshahi,Rajshahi Sadar,0.67,Rice Dishes|Mexican|Western|Fast Food,3.7,2238,50.0,0.0,35.0,24.3687887,88.60201595,"Holding no: 9930 Mobarak tower Ranibazar, Rajshah",6000,https://foodpanda.com.bd/restaurant/c7zy/mexican-spicy-ranibazar
d50i,74164,Grand Nawab,,Rajshahi,Rajshahi Sadar,0.72,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,4.1,492,50.0,0.0,20.0,24.3684084,88.60173945,"Ranibazar Mor, Rajshahi",6000,https://foodpanda.com.bd/restaurant/d50i/grand-nawab
a4j9,128604,5 Star Cafe & Juice Bar,,Rajshahi,Rajshahi Sadar,0.8,Snacks|Beverage|Dessert,0.0,0,50.0,0.0,35.0,24.3781507,88.5974006,Senanibas,6202,https://foodpanda.com.bd/restaurant/a4j9/5-star-cafe-and-juice-bar
t8bj,8654,Master Chef Chinese Restaurant,Master Chef Chinese Restaurant,Rajshahi,Rajshahi Sadar,0.49,Chicken|Curry|Meat|Chinese|Asian,4.5,3044,50.0,0.0,35.0,24.3704294,88.6022883,"Association Bhaban, Alokar Mor",6100,https://foodpanda.com.bd/restaurant/t8bj/master-chef-chinese-restaurant
mb3i,34611,Shibgonj Sweets,Shibgonj Sweets,Rajshahi,Rajshahi Sadar,1.13,Dessert|Doi,4.7,1417,50.0,0.0,25.0,24.365994,88.59801,"Saheb Bazar, Janata Bank Building, Ground floor",6000,https://foodpanda.com.bd/restaurant/mb3i/shibgonj-sweets
s6zm,5571,S.K Food World,,Rajshahi,Rajshahi Sadar,0.7,Chicken|Meat|Chinese|Asian,3.9,3473,50.0,0.0,35.0,24.368631,88.601737,"Ranibazar, Bolia, Rajshahi",6206,https://foodpanda.com.bd/restaurant/s6zm/s-k-food-world
evuj,52059,Helium Rajshahi,Helium,Rajshahi,Rajshahi Sadar,0.64,Curry|Fast Food,4.6,6128,50.0,0.0,30.0,24.36899116,88.60229243,"New Market Road,Rani Bazar,Rajshahi",6206,https://foodpanda.com.bd/restaurant/evuj/helium-rajshahi
t3nl,7096,Arrow Spoon,Arrow Spoon,Rajshahi,Rajshahi Sadar,0.29,Chicken|Meat|Fast Food,4.4,8336,50.0,0.0,30.0,24.3730127,88.6017956,"Shop No 4, Theme Omar Plaza, New Market",6100,https://foodpanda.com.bd/restaurant/t3nl/arrow-spoon
nwe7,65990,Kacchi Bhai - Rajshahi,Kacchi Bhai,Rajshahi,Rajshahi Sadar,0.24,Curry|Rice Dishes|Indian|Biryani|Asian,4.7,7129,50.0,0.0,25.0,24.3724733,88.6033409,"House 264
New Market Road 
Rajshahi-6100",6100,https://foodpanda.com.bd/restaurant/nwe7/kacchi-bhai-rajshahi
t0uu,7519,Aziz Canteen,Aziz Canteen,Rajshahi,Rajshahi Sadar,1.2,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,4.2,11242,50.0,0.0,25.0,24.364638,88.599335,"National Bank Er Goli, Vunari Potti, Shaheb Bazar, Rajshahi- 6000",6000,https://foodpanda.com.bd/restaurant/t0uu/aziz-canteen
ciwu,70543,Sultan's Dine - Rajshahi,Sultan's Dine,Rajshahi,Rajshahi Sadar,0.68,Beverage|Cafe,4.5,4381,50.0,0.0,20.0,24.3687124,88.6021101,"16, Ranibazar, Rajshahi 6100, Bangladesh",6200,https://foodpanda.com.bd/restaurant/ciwu/sultans-dine-rajshahi
mikq,46816,Unan,Unan,Rajshahi,Rajshahi Sadar,0.73,Rice Dishes|Indian|Biryani|Asian,4.4,4984,50.0,0.0,20.0,24.3683875,88.6016819,Ranibazar mor bolia Rajshahi,6000,https://foodpanda.com.bd/restaurant/mikq/unan-mikq
oue0,43377,Arabian Kitchen,Arabian Kitchen,Rajshahi,Rajshahi Sadar,1.0,Bangladeshi|Asian,4.2,10913,50.0,0.0,35.0,24.3671542,88.59858275,"West side of police fari , Malopara Rajshahi",6000,https://foodpanda.com.bd/restaurant/oue0/arabian-kitchen-oue0
knui,39729,Tehari Ghor,Tehari Ghor,Rajshahi,Rajshahi Sadar,0.15,Rice Dishes|Indian|Biryani|Asian,3.1,10571,50.0,0.0,20.0,24.3736774,88.6029767,"Beside Amana Big Bazar, East Side of Gorhanga Jame Masjid, New Market Road, Gorhanga",6000,https://foodpanda.com.bd/restaurant/knui/tehari-ghor
t5el,11006,Master Chef Bangla Restora,Master Chef Bangla Restora,Rajshahi,Rajshahi Sadar,2.25,Bangladeshi|Asian,4.2,7504,50.0,0.0,30.0,24.371162,88.58225,"United Plaza, Infront of Laboratory School, Laxmipur Mor, Greater Road",6000,https://foodpanda.com.bd/restaurant/t5el/master-chef-bangla-restora
diol,61464,Bangla Tiffin,,Rajshahi,Rajshahi Sadar,4.06,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,3.8,3069,50.0,0.0,30.0,24.367325,88.6435214,opposite of binodpur kacha bazar,6200,https://foodpanda.com.bd/restaurant/diol/bangla-tiffin
qp62,97713,Chillox - Rajshahi,Chillox,Rajshahi,Rajshahi Sadar,0.35,Burgers|Western|Fast Food,4.7,735,50.0,0.0,35.0,24.371615,88.6028601,"1st Floor, New Market, Station Road, House No: 346, Shoshthitola, Boalia, Ghoramara, Rajshahi-6100",6000,https://foodpanda.com.bd/restaurant/qp62/chillox-rajshahi
lxl9,66870,Bangla Tiffin - Kazla,Bangla Tiffin,Rajshahi,Rajshahi Sadar,4.08,Curry|Rice Dishes|Bangladeshi|Asian,3.6,1997,50.0,0.0,30.0,24.36599745,88.6433733,"Mondoler mor binodpur motihar,Rajshahi",6000,https://foodpanda.com.bd/restaurant/lxl9/bangla-tiffin-kazla
qhxq,74589,Hazi Nanna Biriyani House,,Rajshahi,Rajshahi Sadar,1.03,Beverage|Indian|Biryani|Bangladeshi|Asian,3.4,1026,50.0,0.0,25.0,24.36712158,88.59804929,"Sonadigir Mor , Sisde of Sadhona Oushodhalay Ltd.,  Boalia , Rajshahi.",6000,https://foodpanda.com.bd/restaurant/qhxq/hazi-nanna-biriyani-house-qhxq
zyn5,73976,KFC Rajshahi,KFC,Rajshahi,Rajshahi Sadar,1.22,Chicken|Meat|Burgers|Western|Fast Food|Fried Chicken,4.8,644,50.0,0.0,35.0,24.36351177,88.60456697,"The Sun (Ground Floor),  Alu Potti Mor, Rajshahi-6100.",600,https://foodpanda.com.bd/restaurant/zyn5/kfc-rajshahi
okej,89997,Haji kacchi ghor,,Rajshahi,Rajshahi Sadar,1.09,Rice Dishes|Indian|Biryani|Asian,2.9,299,50.0,0.0,25.0,24.3654753,88.60004214,"Saheb bazar zero point, Rajshahi",6000,https://foodpanda.com.bd/restaurant/okej/haji-kacchi-ghor-okej
x8r5,39686,Dhaka Biryani House,Dhaka Biryani House,Rajshahi,Rajshahi Sadar,0.16,Rice Dishes|Indian|Biryani|Asian,2.6,2821,50.0,0.0,20.0,24.373639,88.60294105,Opposite side of gorhanga mosque rajshahi,6320,https://foodpanda.com.bd/restaurant/x8r5/dhaka-biryani-house-x8r5
t4sm,7371,Khabar Ghor Hotel & Restaurant,Khabar Ghor Hotel & Restaurant,Rajshahi,Rajshahi Sadar,0.38,Bangladeshi|Asian,2.9,4466,50.0,0.0,20.0,24.37446415,88.6079582,"Godhuli Market, Shiroil Bus Terminal",6000,https://foodpanda.com.bd/restaurant/t4sm/khabar-ghor-hotel-and-restaurant
rmar,63693,Tasty Treat - Talaimari,Tasty Treat,Rajshahi,Rajshahi Sadar,2.75,Cakes|Dessert|Fast Food,4.4,828,50.0,0.0,20.0,24.3618083,88.6275082,"131/A ,Talaimari ,Kajla,Motiher ,Rajshahi",6200,https://foodpanda.com.bd/restaurant/rmar/tasty-treat-talaimari
yv9k,59563,Kacchi Ghor,,Rajshahi,Rajshahi Sadar,0.16,Rice Dishes|Bangladeshi|Asian,2.8,1525,50.0,0.0,20.0,24.3735835,88.6029249,"beside gourhanga mosjid,near to bindu hotel & restaurant",6200,https://foodpanda.com.bd/restaurant/yv9k/kacchi-ghor-yv9k
w38f,38673,North Burg,North Burg,Rajshahi,Rajshahi Sadar,0.79,Rice Dishes|Italian|Pasta|Mediterranean|Soups|Seafood|Western,3.5,3542,50.0,0.0,35.0,24.36747347,88.60560596,"Holding- 30, Ward- 22, Reshompotti, Ghoramara",6320,https://foodpanda.com.bd/restaurant/w38f/north-burg
y5xz,20488,Arman Chop Puri House,Arman Chop Puri House,Rajshahi,Rajshahi Sadar,1.21,Snacks|Bangladeshi|Asian,4.1,1486,50.0,0.0,25.0,24.36457,88.59924,"National Bank Er Goli, Beside Aziz Canteen, Shaheb Bazar",6205,https://foodpanda.com.bd/restaurant/y5xz/arman-chop-puri-house
aiq2,66843,Chef House Kitchen,Chef House Kitchen,Rajshahi,Rajshahi Sadar,3.49,Fast Food,3.5,1194,50.0,0.0,30.0,24.36254791,88.6360773,"Alom er more cife House,dhorompur,motihar,Rajshahi",6200,https://foodpanda.com.bd/restaurant/aiq2/chef-house-kitchen
ehnd,71177,Memory Hotel & Restaurant,,Rajshahi,Rajshahi Sadar,1.02,Curry,3.0,336,50.0,0.0,20.0,24.36613605,88.6000893,"Gonokpara , Tulapotti Mor, 0 point, opposite of Rahomania Hotel , Rajshahi",6200,https://foodpanda.com.bd/restaurant/ehnd/memory-hotel-and-restaurant
kw4d,75381,CP Five star- Mohila College Road,CP Five Star,Rajshahi,Rajshahi Sadar,0.85,Chicken|Snacks|Beverage|Cafe|Meat|Fried Chicken,4.7,237,50.0,0.0,25.0,24.3685253,88.5989476,"Shop holding no 84, Mohila College Road , Rajshahi",5800,https://foodpanda.com.bd/restaurant/kw4d/cp-five-star-mohila-college-road
j5hf,90005,Bhoj,,Rajshahi,Rajshahi Sadar,3.15,Rice Dishes|Indian|Biryani|Asian,3.4,38,50.0,0.0,20.0,24.3646517,88.6333207,"Rajshahi university market, Kazla, Rajshahi",6000,https://foodpanda.com.bd/restaurant/j5hf/bhoj-j5hf
s8sg,5510,Adda,Adda,Rajshahi,Rajshahi Sadar,0.29,Chicken|Rice Dishes|Beverage|Meat|Fast Food,2.9,1753,50.0,0.0,35.0,24.3730139,88.60180145,"Shop-5, level 6, Theme Omar Plaza, New Market, Rajshahi",6200,https://foodpanda.com.bd/restaurant/s8sg/adda
mnpm,47406,Tasty Pastry 2,Tasty Pastry 2,Rajshahi,Rajshahi Sadar,0.94,Cakes|Fast Food,4.7,1158,50.0,0.0,20.0,24.36673905,88.6004141,"Gonokpara, Rajshahi",6202,https://foodpanda.com.bd/restaurant/mnpm/tasty-pastry-2
q6sk,123798,Ghorer Khabar,,Rajshahi,Rajshahi Sadar,3.39,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,2.5,31,50.0,0.0,65.0,24.3752028,88.570779,"Vatapara Apple Declarator Mor, Helenabad School Road, Haji Store er samne",6000,https://foodpanda.com.bd/restaurant/q6sk
a2yt,100049,Ahar - Bangla,,Rajshahi,Rajshahi Sadar,1.03,Curry|Rice Dishes|Bangladeshi|Asian,3.7,101,50.0,0.0,20.0,24.3660631,88.6000467,"Gonokpara , Tulapotti Mor, Zero point, Rajshahi",6000,https://foodpanda.com.bd/restaurant/a2yt/ahar-bangla
u4or,16834,The Divine Dinning,The Divine Dinning,Rajshahi,Rajshahi Sadar,1.95,Chicken|Rice Dishes|Meat|Bangladeshi|Asian,1.7,1174,50.0,0.0,50.0,24.39187545,88.60713415,"TTC Road, In front of Technical Training College, House of Rongila Daroga",6000,https://foodpanda.com.bd/restaurant/u4or/the-divine-dinning
