vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
okej,30,2.79,32,মাশাআল্লাহ ভালো ছিল খাবার ,MD,
nab1,30,3.35,42,"লিখা আছে বাসমতি, দিলো চিনিগুড়ো।  সাদা সাদা শুধু মনে হয় সিদ্ধ করা ব্রয়লার। বিরিয়ানির কোনো মসলা, ঘ্রাণ কিছুই নেই। খুব বাজে টেস্ট 😠😡",JANNATUN,
wpdk,27,3.29,38,Motamoti,Md,
l7o9,1,5.0,2,scammer.. 240 taka lagse total ar chicken size dkhle khaite iccha korbena.. khabar er dosh dicchina all about quantity.. apnara 220 taka nilen .. ar size dilen eto choto? shame on you,Mahir,
zdg5,12,1.85,6,bad pasta,Biddut,
qhxq,30,2.95,36,khabar er saad khub e baje chilo. r beef khachhi te beef er haddi ar chorbi dise solid gosto dei nai. purai loss.  not recomended to purchase from this restaurant. ,Md,
w9lm,5,4.57,12,it was good,Dilshad,
i2tn,4,3.67,5,গরম ছিলো....টেস্ট ও ভালো ছিল ....,Sa,
cz5p,1,4.33,3,mayo packaging should be in small cups rather than polythene bags. ,Rafiul,
knui,30,2.53,25,"খাবারের টেস্ট অনেক ভালো ছিল। কাচ্চি বেশ মজার ছিল, তবে আগের তুলনায় এবার পরিমাণ একটু কম মনে হয়েছে। আগে যখন অর্ডার করেছিলাম তখন পরিমাণ বেশি ছিল। তেহারিটাও ভালো লেগেছে। মোটের উপর সবকিছুই ভালো, শুধু কোয়ান্",MD,
flwj,4,3.5,6,Average! Faluda’r quantity khubi olpo. 145 tky eto kom unexpected!  Crispy Chicken Fry ki jinish eta niye ektu lekha pora kora uchit apnader! kono crispiness ee chhilona chicken fry er moddhe,Fp,
f6f8,5,3.15,7,Chicken momo was awesome. One of the best restaurants for momo in the town. ,Shadman,
q6sk,12,2.31,9,সবগুলো খাওয়ার এভেলেবল থাকে না। কয়েকটা আইটেম অর্ডার দিয়ে শুধু পাইলাম ডাল ভাত ,Śķ,
aq41,3,5.0,7,"সত্যি বলতে,, এই রেস্টুরেন্ট সম্পর্কে যা বলব সেটাই কম হয়ে যাবে।।।  অনেক অনেক অনেকই সুন্দর উনারা।। আল্লাহ বারাকাহ ঢেলে দিক🌼💖",Sabit,
nx5s,30,3.14,37,"খাবারের মান + প্যাকেজিং,  ওয়াও!  + খাবারের টেস্ট ১০/৯,  দারুন অভিজ্ঞতা,। ",Mohammad,
hpqd,2,4.33,4,কারাগে চিকন একদমই নিম্ন মানের হয়েগেছে।,Engr,
oue0,30,2.95,34,average ,Tamanna,
r9gu,30,2.82,31,it was very tasty 😋,Ashish,
iyh0,30,3.2,40,"পরিমাণ সবকিছুরই ভালো ছিল, তবে মাছ ভর্তাটা আলু ভর্তার মতো মনে হচ্ছিল।",Motaowakkel,
w88g,22,4.42,54,"Very slow delivery, taste is good, but cream is smelling ",LUCYE,
xxts,2,2.67,2,220 takar burger eto low quality hote pare vabtew pari nai....,Md,
tgfo,27,3.43,40,মাশাল্লাহ খুব সুন্দর দই। আপনারা টেস্ট করে দেখতে পারেন। ,Monisa,
seo5,30,2.82,36,"faltu restaurant, shb tejpata, gorom mosla diyese . extremely disappointed. ",Roman,
uvwc,2,2.0,1,"Worst taste, over salty. Packaging is very bad. When you deliver gravy item, please pack properly. Highly not recommend. I have ordered vegetable and egg, and i have to abandoned the full vegetable",Md,
mmf1,2,2.0,1,কেকের এক সাইড পুরো ভচকায়ে গেছিলো। কেকের মতো ডেলিকেট জিনিস আরো ভালো ভাবে ডেলিভারি দেওয়া উচিৎ। রাইডারের দোষই বেশি এখানে। ,Jinher,
nfht,5,2.27,3,আজকের খাবার এবং দারুণ সার্ভিসের জন্য অনেক ধন্যবাদ। খাবার খুব ভালো ছিল এবং ঠিক সময়মতো পৌঁছে গেছে। ডেলিভারি রাইডার ও পুরো টিমের প্রতি কৃতজ্ঞতা। এভাবেই ভালো সার্ভিস দিয়ে যান! ❤️,MD,
y22h,30,3.11,38,test average chilo,fahim,
tadj,4,2.8,5,ভালো ছিলো ,Raisa,
vx8o,2,3.0,3,Didn't get the cake i ordered for birthday...if that was not available they should have informed me. they sent 2 indiviual small cake to cover 700/-!!! Totally ruined my surprise for my niece.shame,MD.,
b79j,30,3.16,36,motamuti,Asifur,
ex5w,16,3.67,25,Too many masala,Abid,
