code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
by7s,55151,Rangpur Grand Sultan Hotel And Restaurant,Rangpur Grand Sultan Hotel And Restaurant,Rangpur,Lalbagh,1.36,Snacks|Curry|Bangladeshi|Asian|Faluda,4.1,3216,50.0,0.0,25.0,25.7505049,89.2548639,paira chattor central road Rangpur,5400,https://foodpanda.com.bd/restaurant/by7s/rangpur-grand-sultan-hotel-and-restaurant
szcb,76483,Live Pizza BD,,Rangpur,Lalbagh,2.51,Italian|Mediterranean|Pizza|Western,4.3,448,50.0,0.0,30.0,25.75595235,89.24198195,"DC mor Road,  4 rasta mor, main point of DC Mor,  Rangpur.",6205,https://foodpanda.com.bd/restaurant/szcb/live-pizza-bd
io7n,91529,Halal Food,,Rangpur,Jail Road,1.36,Curry|Rice Dishes|Bangladeshi|Asian,4.1,313,50.0,0.0,35.0,25.74114461,89.26144163,"Road No: 04, Lane beside Shafi Homeo Clinic, Nurpur Emo Agro Nursery Road, Nurpur, Alamnagar, Rangpur. Near by Upoma Light Decoraton , Rangpur",5400,https://foodpanda.com.bd/restaurant/io7n/halal-food-io7n
ktqg,81109,Khichuri Bhai,,Rangpur,Jail Road,2.29,Snacks|Curry|Rice Dishes|Dessert,4.4,360,50.0,0.0,40.0,25.7403117,89.2521767,"House no . 76/1, hajipara road 2, holding no 0080-00, tarminal road , hajipara , shapla chattar , Rangpur",,https://foodpanda.com.bd/restaurant/ktqg/khichuri-bhai
ixn3,124993,Tahsin's Kitchen,,Rangpur,Shapla Chottor,0.73,Curry|Rice Dishes|Dessert|Bangladeshi|Asian,3.9,28,50.0,0.0,25.0,25.74924395,89.26865635,"RCCI More, Purbo shalbon, 32/4, 5400 Alamgar, Rangpur, Bangladesh",5400,https://foodpanda.com.bd/restaurant/ixn3/tahsins-kitchen-ixn3
f0pi,103589,Royals Food,,Rangpur,Jail Road,1.3,Bangladeshi|Asian,2.6,96,50.0,0.0,40.0,25.7378845,89.26222195,"Mohadebpur, 69, 5402 Alomnagar, Rangpur, Bangladesh",5402,https://foodpanda.com.bd/restaurant/f0pi/royals-food
u152,112850,Chilekotha Restaurant,,Rangpur,Lalbagh,2.51,Snacks|Rice Dishes|Beverage|Seafood|Bangladeshi|Asian|Fast Food|Faluda,3.6,54,50.0,0.0,35.0,25.7547733,89.24192585,"DC More, Rangpur",5400,https://foodpanda.com.bd/restaurant/u152/chilekotha-restaurant-u152
zapa,42150,New Dhaka Biryani House,New Dhaka Biryani House,Rangpur,Lalbagh,3.65,Curry|Indian|Biryani|Doi|Asian,2.4,2754,50.0,0.0,35.0,25.7627669,89.2313419,Dhap rk road front RAMC shopping complex Rangpur,5400,https://foodpanda.com.bd/restaurant/zapa/new-dhaka-biryani-house
p5o9,96195,Live pizza & sea food,,Rangpur,Lalbagh,2.5,Italian|Mediterranean|Pizza|Western,4.1,86,50.0,0.0,35.0,25.7558883,89.24202025,"DC more, Zero Point, Civil Surgeon's Office, Rangpur",5400,https://foodpanda.com.bd/restaurant/p5o9/live-pizza-and-sea-food
tpc5,129713,Savory Bites - Rangpur,,Rangpur,Lalbagh,1.39,Middle Eastern|Shawarma|Burgers|Western|Fast Food,0.0,0,50.0,0.0,35.0,25.7486124,89.2558047,"Opposite side of Jahaz Company Shopping Complex, in front of Grameenphone Center.",5400,https://foodpanda.com.bd/restaurant/tpc5/savory-bites-rangpur
