vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
p5o9,30,3.35,40,atto baje pizza jiboneo khainai..  purai low quality..  atto dry!  atto baje  pizzar upor e toppings nai bollei chole..  rating 00/10  👎 not recommended! ,Mrs,
ixn3,16,3.46,21,khabar er quality vlo silo❤️,Joy,
by7s,30,3.05,34,"খাবার ঠান্ডা দেয়,একদম ই,,রোষ্ট এর চিকেন টা অনক ছোট,ডিম ঠান্ডা বরফ হয়ে থাকে,পোলাও ঠান্ডা আর এমন মনে হয় পাতিলের তলা থেকে ক্যাকরায় দিছে।।৪ দিলাম যেনো রিভিউ সামনে থাকে,বাজে অভিজ্ঞতা ",Arbina,
tyla,30,3.08,38,বিরিয়ানির  আরেকটু স্বাদ হতে পারতো,Shourov,
v4kv,30,3.26,40,good quality and quantity ,Rubayet,
s49p,5,3.71,10,Baje chilo faluda shudhu ice cream r fruits dise,Suhayel,
rdr0,12,2.68,11,"Belpuri vajte giye pure kalo banaise,vorta ta ato baje smell korsilo fele deya lagse ar ageo niyesi ato baje silo na purai hotas",Era,
szcb,30,3.42,38,worst pizza  ever. pura thana hye gese. shb সস্  pore gesilo. valo lage nai.,muhaiminun,
impm,2,5.0,6,Best,Shantona,
n2hh,1,1.0,0,not up to mark at all,Aditya,
nejk,6,3.88,12,Tasty with good quantity!❤️,Partho,
u152,28,3.18,30,মোটামুটি,Nisa,
xtgk,28,2.55,22,sob theke joghonno khawar r dam beshi.,Sojib,
ddio,9,3.87,15,"Well cooked , this food was delicious ",Sayed,
ktqg,30,3.87,52,The chicken & beef khichuri was very tasty.,Md,
ndh4,12,2.93,14,Chicken shawarma ta best chilo.,esrat,
tpc5,1,1.0,0,The quality of the parcel is very bad. And the food was just delivered in a polythene bag 😡😡,Rashid,
vjpk,2,4.33,6,sudhu haddi diye rakse r thanda khabar 😡😡,Nusrat,
qdo4,18,2.45,16,এত্তো ফাউল খেতে। মাংস নস্ট টাইপ ছিলো! আমার খাওয়া সব থেকে বাজে খিচুড়ি। ,Soikot,
t9yl,30,2.97,34,"আমি অর্ডার করেছিলাম নাগা শর্মা আর থাই স্যুপ,  তারা পাঠিয়েছে উইথ আউট মসলা সাদা শর্মা আর নাগা থাই স্যুপ। এ আল্লাহর দুনিয়ার আর এক নয়া কারিশমা। গলা জ্বলে শেষ।",Abid,
zapa,30,2.3,18,"Faltu vi keu khaien na 
Alu deyni 
Trpr mangsho tao kharap 
Onek baje cih💩🤮",Md,
q9b3,1,5.0,2,অনেক সুন্দর ছিলো 🥰🥰,Rsa,
f0pi,30,2.41,24, ato baje..tk nosto korte na chaile Kew oder korbenna,Arnika,
l8t2,4,4.11,7,"chicken kabab ta valo shilo na, tomato vorta ta sweet sweet lagtashilo.",sanjay,
io7n,30,3.67,49,khub kharap,Md,
