code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
s9to,4667,Kababia,Kababia,Sylhet,Uposhohor,0.86,Indian|Asian|Fast Food|Faluda,4.2,788,75.0,0.0,40.0,24.88822,91.879926,"2nd Floor, K. K. Mansion, Beside Oasis Hospital, Bishawroad, Subhanighat, Sylhet 3100",3100,https://foodpanda.com.bd/restaurant/s9to/kababia
udi9,71581,Ambrosia Family Dine,,Sylhet,Kazitula,0.44,Curry|Fast Food,4.7,275,75.0,0.0,40.0,24.8963836,91.8786784,Kumarpara Rd,3100,https://foodpanda.com.bd/restaurant/udi9/ambrosia-family-dine-udi9
t9li,9754,Chaat Buzz,Chaat Buzz,Sylhet,Tilagor,1.14,Chotpoti & Fuchka|Indian|Bangladeshi|Asian,4.5,1131,100.0,0.0,35.0,24.895419,91.898311,"Dreamers House 2, Vatatikor, Tilagor",3100,https://foodpanda.com.bd/restaurant/t9li/chaat-buzz
js5m,99910,Brewberry,,Sylhet,Zindabazar,0.21,Italian|Beverage|Mediterranean|Pizza|Burgers|Western|Fast Food,3.0,10,50.0,0.0,30.0,24.89524462,91.8707837,"1st Floor, Shahib Complex, Sylhet 3100, Bangladesh, Brewberry, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/js5m/brewberry
b0or,71457,Pizza's Point,,Sylhet,Zindabazar,0.21,Snacks|Italian|Mediterranean|Pizza|Western,3.5,750,50.0,0.0,40.0,24.8957119,91.866842,"Megna 16/B Dariyapara,near by The Burgers Point Restaurent",3100,https://foodpanda.com.bd/restaurant/b0or/pizzas-point
ir5g,77605,BD Five Star - Modhushohid,BD Five Star,Sylhet,Shibganj,0.44,Chicken|Snacks|Meat|Fast Food|Fried Chicken,3.7,19,75.0,0.0,20.0,24.899148,91.8570795,"BD Five Star, Modhushohid, Sylhet, BD Five Star, Modhushohid, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/ir5g/bd-five-star-modhushohid
t7qx,7755,The Burgers Point,,Sylhet,Zindabazar,0.21,Burgers|Western,4.0,4247,50.0,0.0,35.0,24.8957059,91.86682545,"Dariapara, Opposite of Korai Restaurant, Sylhet 3100",3100,https://foodpanda.com.bd/restaurant/t7qx/the-burgers-point
roim,68243,Crisp - Chef’s Table Sylhet,Crisp,Sylhet,Amberkhana,0.53,Burgers|Western|Fast Food,4.7,1128,75.0,0.0,30.0,24.90598245,91.8682898,"WV49+875, Ambarkhana Rd, Sylhet -3100",3100,https://foodpanda.com.bd/restaurant/roim/crisp-chefs-table-sylhet
j5kq,92270,Lahori Dine,,Sylhet,Kazitula,0.17,Turkish|Kebab|Curry|Middle Eastern|Beverage|Asian,4.0,58,65.0,0.0,40.0,24.8995118,91.8754348,"Nayasarak Road, Nayasarak Rd, 3100 Nayasarak, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/j5kq/lahori-dine
b7ln,77716,Cheese Wheel,,Sylhet,Zindabazar,0.22,Snacks|Italian|Pasta|Mediterranean|Pizza|Burgers|Western,4.7,99,50.0,0.0,30.0,24.8952252,91.8708695,"Shahib shoping complex frist floor East zindabazar opposite of   Woondaal King Kebab, Baruthkhana Road, Zindabazar, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/b7ln/cheese-wheel
c7v1,49119,Panshi Restaurant,Panshi Restaurant,Sylhet,Zindabazar,0.12,Curry|Sweets|Dessert|Bangladeshi|Doi|Asian|Faluda,4.5,20932,50.0,0.0,30.0,24.89509715,91.86750375,"Opposite of West world shopping center, Jallarpar Road, Zindabazar, Sylhet",3100,https://foodpanda.com.bd/restaurant/c7v1/panshi-restaurant-c7v1
l5sp,72013,Sultan's Dine -Sylhet,Sultan's Dine,Sylhet,Zindabazar,0.11,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,4.6,6180,50.0,0.0,20.0,24.8946207,91.8676958,"201, Forid plaza, jallarpar mor, west Zinda bazar",3100,https://foodpanda.com.bd/restaurant/l5sp/sultans-dine-sylhet
q46l,52680,Haji Noyab Ali Restaurant,Mezban Bari,Sylhet,Tilagor,0.95,Curry|Rice Dishes|Bangladeshi|Asian,3.7,7513,75.0,0.0,35.0,24.8890932,91.8802242,"Palki restaurant bulding, subhanighat, sylhet",3100,https://foodpanda.com.bd/restaurant/q46l/haji-noyab-ali-restaurant-q46l
mnqz,81896,Mehman Restaurant,,Sylhet,Zindabazar,0.07,Turkish|Bangladeshi|Doi|Faluda|Kebab|Snacks|Curry|Rice Dishes|Middle Eastern|Beverage|Dessert|Asian,4.2,931,50.0,0.0,20.0,24.89541295,91.8690934,"Zindabazar Point, Sitara Mansion, Sylhet, Mehman Restaurant, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/mnqz/mehman-restaurant
tkb9,70970,Palki Restaurant - Ambarkhana,,Sylhet,Amberkhana,0.43,Turkish|Kebab|Snacks|Curry|Rice Dishes|Middle Eastern|Bangladeshi|Doi|Asian|Faluda,4.1,4980,75.0,0.0,30.0,24.90487325,91.8705678,Electric Supply Rd,3100,https://foodpanda.com.bd/restaurant/tkb9/palki-restaurant-ambarkhana
t4sx,9759,Palki Restaurant,Palki Restaurant,Sylhet,Amberkhana,0.41,Snacks|Curry|Rice Dishes|Beverage|Dessert|Bangladeshi|Doi|Asian|Faluda,3.9,24205,75.0,0.0,25.0,24.9050141,91.8706142,"Temporary Address: Amberkhana branch, sylhet",3100,https://foodpanda.com.bd/restaurant/t4sx/palki-restaurant-t4sx
pn5y,65511,Rajbari Restaurant,Rajbari Restaurant,Sylhet,Zindabazar,0.13,Curry|Bangladeshi|Asian|Faluda,4.7,3525,50.0,0.0,25.0,24.89463875,91.86748885,"Beside panshi restaurant, Jallarpar road, Zindabazar, Sylhet",3100,https://foodpanda.com.bd/restaurant/pn5y/rajbari-restaurant
i4g3,49107,Panshi Inn,Panshi Inn,Sylhet,Kazitula,0.55,Curry|Bangladeshi|Doi|Asian|Faluda,4.5,7430,65.0,0.0,30.0,24.895586,91.874443,"W. Tower, Jail Road, Sylhet",3100,https://foodpanda.com.bd/restaurant/i4g3/panshi-inn
c1og,46620,Alpine Restaurant,Alpine Restaurant,Sylhet,Zindabazar,0.5,Curry|Rice Dishes|Doi|Faluda,4.0,6636,65.0,0.0,20.0,24.89933817,91.86941399,"Chowhatta point,Sylhet",3100,https://foodpanda.com.bd/restaurant/c1og/alpine-restaurant
z6ix,67929,PachForon Restaurant,,Sylhet,Tilagor,0.95,Curry|Bangladeshi|Doi|Asian,4.1,1890,75.0,0.0,30.0,24.88897185,91.88037495,"Kachabazar, Mirabazar-Subhanighat Rd, Sylhet , Palki Restaurant, Kachabazar, Mirabazar-Subhanighat Road, Sylhet",3100,https://foodpanda.com.bd/restaurant/z6ix/pachforon-restaurant
n7vk,70282,Kacchi Bhai - Sylhet,Kacchi Bhai,Sylhet,Amberkhana,0.53,Curry|Rice Dishes|Indian|Biryani|Asian,4.6,2066,75.0,0.0,30.0,24.9040841,91.86997315,"80 1/A, Amin Complex, Ambarkhana Rd, Sylhet 3100",3100,https://foodpanda.com.bd/restaurant/n7vk/kacchi-bhai-sylhet
e798,76410,Domino’s Pizza - Sylhet Dargah Gate,Domino's Pizza,Sylhet,Zindabazar,0.6,Italian|Mediterranean|Pizza|Western,4.5,442,0.0,39.0,20.0,24.9002241,91.8694005,Mazar Road,3100,https://foodpanda.com.bd/restaurant/e798/dominos-pizza-sylhet-dargah-gate
w64f,76172,Mughal Masallam,,Sylhet,Kazitula,0.2,Healthy|Curry|Rice Dishes|Doi,4.8,384,75.0,0.0,30.0,24.8994281,91.8788317,"Kumarpara point,manikpir Road,sylhet. Near by Kumarpara Point, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/w64f/mughal-masallam
nif5,72335,Takeout - Sylhet,Takeout,Sylhet,Amberkhana,0.77,Burgers|Western|Fast Food,4.9,1770,75.0,0.0,30.0,24.90616108,91.86567086,"Arcedia (l-3), 7/4, Sumangonj Road, Amberkhana, Sylhet-3100",3100,https://foodpanda.com.bd/restaurant/nif5/takeout-sylhet
t2nz,11548,Salt Bae,Salt Bae,Sylhet,Zindabazar,0.15,Italian|Pasta|Mediterranean|Pizza|Western|Fast Food,4.7,2530,50.0,0.0,30.0,24.8953788,91.8700571,"Kazi Asparagus Food Island, East Zindabazar",3100,https://foodpanda.com.bd/restaurant/t2nz/salt-bae
mc6a,47575,The Magician,The Magician,Sylhet,Zindabazar,0.12,Curry|Rice Dishes|Fast Food,3.8,1330,50.0,0.0,30.0,24.89587535,91.8691539,"MRK Mansion,Tatipara,Sylhet.(Near The Aided High School)",3100,https://foodpanda.com.bd/restaurant/mc6a/the-magician
t7ea,9004,Saffron Restaurant - Sylhet,Saffron Restaurant - Sylhet,Sylhet,Tilagor,0.41,Snacks|Curry|Bangladeshi|Asian,4.3,5656,100.0,0.0,30.0,24.8943483,91.89096245,Shibgonj Point,3100,https://foodpanda.com.bd/restaurant/t7ea/saffron-restaurant-sylhet
hoat,59450,Burger Side,Burger Side,Sylhet,Zindabazar,0.5,Burgers|Western|Fast Food,3.9,2470,65.0,0.0,35.0,24.89781265,91.86498235,Sylhet // city poly clinic er opposite gate puraton medical //,3100,https://foodpanda.com.bd/restaurant/hoat/burger-side
uz4r,46592,Shokal Sondha Restaurant,Shokal Sondha Restaurant,Sylhet,Bondor Bazar,0.33,Curry|Rice Dishes|Bangladeshi|Doi|Asian,4.5,1655,65.0,0.0,25.0,24.89056316,91.87286294,"Laldighirpar,Bondor Bazar,Sylhet.(Opposite Of Southeast Bank Ltd. and Near NCC Bank)",3100,https://foodpanda.com.bd/restaurant/uz4r/shokal-sondha-restaurant
jkz2,31509,Nobanno Restaurant,Nobanno Restaurant,Sylhet,Bondor Bazar,0.39,Bangladeshi|Asian|Faluda,3.5,2948,65.0,0.0,20.0,24.89101315,91.86624275,"VIP Road, Taltola (Near Taltola Point)",3100,https://foodpanda.com.bd/restaurant/jkz2/nobanno-restaurant
s7uu,5197,Ambrosia Food Factory,Ambrosia Food Factory,Sylhet,Amberkhana,0.77,Chicken|Snacks|Curry|Indian|Sandwiches|Biryani|Meat|Western|Asian|Fast Food,4.4,4921,75.0,0.0,30.0,24.906092,91.865687,"Arcadia, Housing Estate Point, Sylhet",3100,https://foodpanda.com.bd/restaurant/s7uu/ambrosia-food-factory
s8vj,3872,Chefs Squad,Chefs Squad,Sylhet,Amberkhana,0.77,Western|Dumpling|Steak|Chicken|Snacks|Middle Eastern|Shawarma|Soups|Sandwiches|Meat|Chinese|Asian|Fast Food,4.5,4970,75.0,0.0,30.0,24.906158,91.865652,"Arcadia, Housing Estate Road, Sylhet 3100",3100,https://foodpanda.com.bd/restaurant/s8vj/chefs-squad
rlh9,76877,Khushbu Premium Bangla Restaurant,,Sylhet,Zindabazar,0.44,Turkish|Kebab|Snacks|Curry|Rice Dishes|Middle Eastern|Bangladeshi|Doi|Asian,3.4,418,50.0,0.0,25.0,24.89874335,91.86977585,"House no 60/B, Road No 131, 2nd Floor 60/B, Rd 131, Dhaka 1212 ,Khushbu Restaurant, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/rlh9/khushbu-premium-bangla-restaurant
iqcc,46617,Rainbow Chinese Restaurant,Rainbow Chinese Restaurant,Sylhet,Kazitula,0.49,Snacks|Curry|Rice Dishes|Chinese|Asian,4.7,1482,65.0,0.0,35.0,24.89918944,91.87218354,"Mirboxtula ,Nayasarak Road, Sylhet.",3100,https://foodpanda.com.bd/restaurant/iqcc/rainbow-chinese-restaurant
kk0a,71586,Abbas restaurant Sylhet,,Sylhet,Pathantula,0.56,Curry,4.0,1128,100.0,0.0,35.0,24.9063869,91.8817536,"Shahi Edgah Point, (opposite of cng stand), Sylhet.",3100,https://foodpanda.com.bd/restaurant/kk0a/abbas-restaurant-sylhet
nijm,101275,BD Five Star - Ambarkhana,,Sylhet,Amberkhana,0.48,Chicken|Snacks|Meat|Fried Chicken,4.2,192,75.0,0.0,30.0,24.9052601,91.8692897,"Shunamgonj Road, Amberkhana, Sylhet Near by Amberkhana Point, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/nijm
s5ow,5013,Artisan Coffee Co.,Artisan Coffee Co.,Sylhet,Kazitula,0.32,Cakes|Beverage|Dessert,4.3,1185,75.0,0.0,35.0,24.897308,91.878202,"House No. 39/A, Kumarpara, Sylhet",3100,https://foodpanda.com.bd/restaurant/s5ow/artisan-coffee-co
iti6,31316,Chowmein Hut,Chowmein Hut,Sylhet,Amberkhana,0.64,Snacks|Fast Food,4.2,1128,75.0,0.0,45.0,24.9056758,91.86715475,"Dorshondori, Amberkhana (opposite of Sinbad Restaurant)",3100,https://foodpanda.com.bd/restaurant/iti6/chowmein-hut
tffd,70164,99meal,,Sylhet,Akhalia,0.93,Rice Dishes|Indian|Biryani|Asian,4.2,605,100.0,0.0,30.0,24.9106097,91.8331306,"99meal,  Opposite of Mr Kacchi Ghor, 3114 Shajalal University, Sylhet, Bangladesh",3114,https://foodpanda.com.bd/restaurant/tffd/99meal
i6zw,24519,BD FIVE STAR - Noyasorok,Q-Bistro - Noyasorok,Sylhet,Kazitula,0.16,Fast Food,4.5,3047,65.0,0.0,30.0,24.899532,91.8754512,"15/A Bihongo, Manikpir Road.Noyasorok(Sylhet Science Collage)",3100,https://foodpanda.com.bd/restaurant/i6zw/bd-five-star-noyasorok
gct3,76469,BD FIVE STAR,,Sylhet,Kazitula,0.16,Snacks|Beverage|Burgers|Western|Fast Food,4.4,233,65.0,0.0,30.0,24.8996189,91.8755152,"15/1 Bihongo, Manikpir Road, Noyasorok. Motin Bhaban ,Near by  Motin Bhaban, Manikpir Tila Road, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/gct3/bd-five-star-gct3
s7ya,5023,Hotel Farmis Garden,Hotel Farmis Garden,Sylhet,Shibganj,0.9,Curry|Bangladeshi|Asian|Fast Food,4.1,2656,75.0,0.0,25.0,24.902286,91.862909,"Mirer Moidan Point (196.45 km),  Sylhet - 3100",3100,https://foodpanda.com.bd/restaurant/s7ya/hotel-farmis-garden
s0ta,6456,Cremo Coffee,Cremo Coffee,Sylhet,Kazitula,0.21,Beverage|Burgers|Western|Fast Food,4.7,3360,65.0,0.0,35.0,24.900008,91.874947,"Just Beside Dhaba Restaurant and Department of Taxes Kazitula Road Sylhet, Nayasarak Rd 3100",3100,https://foodpanda.com.bd/restaurant/s0ta/cremo-coffee
zdmm,88192,Mughal Masallam- Lamabazar,,Sylhet,Kazitula,0.19,Curry|Rice Dishes|Dessert|Bangladeshi|Doi|Asian,4.4,57,75.0,0.0,30.0,24.8994251,91.87879105,"Kumarpara point Sylhet (opposite Rajasthan), Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/zdmm/mughal-masallam-lamabazar
t1pw,11162,Burger's Corner,Burger's Corner,Sylhet,Zindabazar,0.21,Burgers|Western,4.1,1795,50.0,0.0,35.0,24.8957588,91.86684775,"Dariapara, Opposite of Korai Restaurant",3100,https://foodpanda.com.bd/restaurant/t1pw/burgers-corner
go0i,76656,Yokoso,,Sylhet,Kazitula,0.38,Chicken|Rice Dishes|Soups|Seafood|Meat,4.8,403,65.0,0.0,30.0,24.899525,91.8732939,"2nd Floor, Al Madani Tower, Mirboxtula, Sylhet , Yōkoso, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/go0i/yokoso
n2gq,57172,Fuchka Tong,Fuchka Tong,Sylhet,Shibganj,1.01,Chotpoti & Fuchka|Bangladeshi|Doi|Asian|Fast Food,4.3,1374,100.0,0.0,20.0,24.906279,91.8628725,"Fajil Chist Gate, East Subidh Bazar, 
Main Road, Sylhet- Sunamganj Hwy, 
Sylhet 3100",3100,https://foodpanda.com.bd/restaurant/n2gq/fuchka-tong
qqml,79350,Mezban Bari,,Sylhet,Uposhohor,0.95,Curry|Rice Dishes|Beverage|Dessert|Bangladeshi|Doi|Asian|Faluda,4.2,50,75.0,0.0,30.0,24.8889745,91.88027785,"Haji Noyear Ali Market , Shubhanight , Sylhet -3100 near by Sayek Library And Stationery, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/qqml/mezban-bari
ffhl,83329,Sami's Cafe,,Sylhet,Kazitula,0.48,Snacks|Dessert|Fast Food,3.5,46,65.0,0.0,25.0,24.8970218,91.8735991,"Sadik Tower, 871 Noya Sorok, Sylhet, Bangladesh, Sami's Cafe, Rd No. 35, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/ffhl/samis-cafe
g55u,46271,Hotel Dallas,Hotel Dallas,Sylhet,Kazitula,0.56,Turkish|Kebab|Middle Eastern,4.1,276,65.0,0.0,30.0,24.8955755,91.8742752,"North Jail Road,Sylhet.",3100,https://foodpanda.com.bd/restaurant/g55u/hotel-dallas-g55u
xdmn,95957,Burger Station-Sylhet,,Sylhet,Shibganj,0.73,Snacks|Rice Dishes|Beverage|Cafe|Burgers|Western,3.6,83,100.0,0.0,40.0,24.89570258,91.85202922,"Laladigirpar, Kuarpar, Sylhet",3174,https://foodpanda.com.bd/restaurant/xdmn/burger-station-sylhet
u3rs,15514,Tasty Treat - Naya Sarak,Tasty Treat,Sylhet,Kazitula,0.28,Cakes|Dessert|Doi|Fast Food,4.4,312,65.0,0.0,25.0,24.898546,91.874758,"Naya Sarak, Zindabazar,",3100,https://foodpanda.com.bd/restaurant/u3rs/tasty-treat-naya-sarak
eoqa,80699,Farida's Kitchen,,Sylhet,Amberkhana,0.65,Curry|Bangladeshi|Asian,4.8,245,65.0,0.0,40.0,24.9024433,91.8708988,"Chandantula, 14,Chàyan, chàndantulà, school goli, 3100 Amberkhana, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/eoqa/faridas-kitchen-eoqa
e6or,24222,Five Sisters Fast Food,Five Sisters Fast Food,Sylhet,Zindabazar,0.21,Snacks,3.7,750,50.0,0.0,20.0,24.894595,91.866619,"Jallarpar Point , Sylhet.(Opposite Of Jallarpar Masjid ), Jallarpar Road, Sylhet",3100,https://foodpanda.com.bd/restaurant/e6or/five-sisters-fast-food
o8n0,69352,Sadia'S Kitchen,,Sylhet,Shibganj,0.74,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,4.6,706,75.0,0.0,45.0,24.8979451,91.8598333,"18/2 Modhushohid,p.o-Shodor, P.S - Kotuwali, DIST: Sylhet, Postcode 3100 Sylhet near by Trust Medical College Road, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/o8n0/sadias-kitchen-o8n0
bamg,73336,Zahir's Cafeteria,,Sylhet,Kazitula,0.18,Snacks|Beverage|Doi|Fast Food,2.5,229,75.0,0.0,50.0,24.8993748,91.8786025,"Opposite to Sylhet Metro, Kumarpara Point, Sylhet",3100,https://foodpanda.com.bd/restaurant/bamg/zahirs-cafeteria
t9po,10375,Curry Royal,Curry Royal,Sylhet,Kazitula,0.24,Indian|Asian,3.5,913,75.0,0.0,30.0,24.898575,91.878776,"803/805, Kumarpara",3100,https://foodpanda.com.bd/restaurant/t9po/curry-royal
ah1q,86769,Meatbox,,Sylhet,Zindabazar,0.2,Snacks|Rice Dishes|Italian|Pasta|Mediterranean|Western|Fast Food,2.7,156,50.0,0.0,30.0,24.8966217,91.8682353,"Kazi Ilias Rd near by Kacchi-Dine, Sylhet., Zindabazar, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/ah1q/meatbox-ah1q
mcna,94223,M For Momo,,Sylhet,Amberkhana,0.77,Chinese|Asian,5.0,83,75.0,0.0,35.0,24.9056257,91.8657785,"41 Dorgah Moholla Rd, Dorgah Moholla Rd 41, 3100 Amberkhana, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/mcna/m-for-momo
s9tq,754,Chick Chicken - Shubidbazar,Chick Chicken,Sylhet,Shibganj,0.85,Chicken|Meat|Fast Food,3.7,3939,100.0,0.0,30.0,24.909224,91.856734,"Near brac bank and ananda niketan school,  sunamgonj road,  shbidbazar sylhet.",3100,https://foodpanda.com.bd/restaurant/s9tq/chick-chicken-shubidbazar
lj6e,71808,Deshi Food,,Sylhet,Shibganj,1.09,Snacks|Rice Dishes,3.9,182,75.0,0.0,30.0,24.892751,91.8574547,"Azad cottage-2,ingulal road,kuarpar,sylhet near by Azad cottage -2, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/lj6e/deshi-food-lj6e
s2ur,4962,Coffee Express - Sylhet,Coffee Express,Sylhet,Kazitula,0.27,Snacks|Beverage,3.5,2362,65.0,0.0,35.0,24.89858915,91.8748763,"Nayasarak Road, Opposite of Church, Sylhet",3100,https://foodpanda.com.bd/restaurant/s2ur/coffee-express-sylhet
uncc,69690,Waffle Treat - Sylhet,Waffle Treat - Mirpur 6,Sylhet,Kazitula,0.16,Dessert|Chinese|Asian|Dumpling,4.3,557,65.0,0.0,35.0,24.89946515,91.87553397,"House - 28, Manikpir Tila Road, Nayasarak, Sylhet",3100,https://foodpanda.com.bd/restaurant/uncc/waffle-treat-sylhet
cqw2,50889,CozX,CozX,Sylhet,Zindabazar,0.15,Snacks|Rice Dishes,2.7,228,50.0,0.0,30.0,24.8954411,91.87003365,"Kazi asparagus food island,west zindabazar, Sylhet",3100,https://foodpanda.com.bd/restaurant/cqw2/cozx
be5o,127585,Amreen's Donut,,Sylhet,Tilagor,0.89,Snacks|Dessert,4.5,18,100.0,0.0,40.0,24.8955933,91.8958067,Tamabil road,3100,https://foodpanda.com.bd/restaurant/be5o/amreens-donut
idch,43501,Mithai - Jail Road,Mithai - Dhaka,Sylhet,Zindabazar,0.48,Cakes|Dessert|Fast Food,4.2,191,65.0,0.0,25.0,24.8958125,91.8733125,"Jail Road point, Noyasarak, Sylhet",3100,https://foodpanda.com.bd/restaurant/idch/mithai-jail-road
fkg1,129534,Joya's Cafeteria,,Sylhet,Zindabazar,0.5,Rice Dishes|Sandwiches|Burgers|Western|Fast Food,0.0,0,65.0,0.0,35.0,24.89875086,91.8712019,"House Name: Yamin Complex, Road Name: Hawapara Road, Hawapara Sylhet-3100",3100,https://foodpanda.com.bd/restaurant/fkg1/joyas-cafeteria
rqcg,70395,Kiva Han Coffee (Sylhet),kiva han,Sylhet,Amberkhana,0.55,Beverage|Dessert,4.8,166,75.0,0.0,25.0,24.9057192,91.86820735,"Shubeccha 2, Unimart Building, 3rd Floor, Sylhet - Sunamganj Highway, Sylhet",3100,https://foodpanda.com.bd/restaurant/rqcg/kiva-han-coffee-sylhet
i1xz,81383,Le Bistro,,Sylhet,Kazitula,0.44,Snacks|Beverage|Cafe,3.5,51,75.0,0.0,30.0,24.8963515,91.87870155,"2no Rahim Palace, 24/A,Kumarpara Road , Sylhet, Bangladesh, Le Bistro, Kumarpara Road, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/i1xz/le-bistro-i1xz
t6ka,10366,Pizza Express,Pizza Express,Sylhet,Kazitula,0.24,Italian|Mediterranean|Pizza|Western|Asian,4.1,2204,75.0,0.0,40.0,24.898523,91.878747,"Holding No. 803-805, Kumarpara",3100,https://foodpanda.com.bd/restaurant/t6ka/pizza-express-t6ka
blk1,68522,Momos Hut,,Sylhet,Amberkhana,0.76,Chinese|Asian|Dumpling,4.5,340,75.0,0.0,35.0,24.905685,91.8658708,Darshan Deuri Opposite Off  Arcadia Ambarkhana  Sylhet,3100,https://foodpanda.com.bd/restaurant/blk1/momos-hut
vaic,73333,PizzaLab Zindabazar,PizzaLab,Sylhet,Zindabazar,0.21,Italian|Mediterranean|Pizza|Western,2.1,139,50.0,0.0,35.0,24.8955553,91.8706776,"RB Complex,  Ground floor, Dhaka-Sylhet Highway,  Zindabazar, Sylhet",3100,https://foodpanda.com.bd/restaurant/vaic/pizzalab-zindabazar
tc3j,128011,Mr.Manna's Kitchen,,Sylhet,Tilagor,1.35,Italian|Pasta|Mediterranean|Sandwiches|Burgers|Western|Fast Food,3.2,9,100.0,0.0,45.0,24.8972246,91.9002053,Tilagore point ambarkhana road sylhet,3100,https://foodpanda.com.bd/restaurant/tc3j/mr-mannas-kitchen
w5r5,77945,Q - Bistro - Shibganj Point,Q - Bistro,Sylhet,Tilagor,0.37,Chicken|Snacks|Meat,4.3,86,100.0,0.0,30.0,24.8952186,91.8907082,"point, Tamabil Rd, Sylhet near by Shibgonj Point, Sylhet., point, Tamabil Road, Sylhet, Bangladesh",3100,https://foodpanda.com.bd/restaurant/w5r5/q-bistro-shibganj-point
zihh,97156,Night Cuisine,,Sylhet,Tilagor,0.8,Turkish|Italian|Western|Kebab|Chicken|Snacks|Rice Dishes|Middle Eastern|Pasta|Mediterranean|Fish|Seafood|Meat,4.4,112,100.0,0.0,55.0,24.8878348,91.8877465,"Basa no:44, Road no: 37, C-Block, Uposhohor, Sylhet, Bangladesh, 3100 Sylhet,",3100,https://foodpanda.com.bd/restaurant/zihh/night-cuisine-zihh
uoio,88018,Juice Bhai,,Sylhet,Zindabazar,0.55,Juice Corner|Beverage|Dessert,4.3,35,65.0,0.0,25.0,24.8991708,91.8714177,"Azadi 110, Mirboxtula, Sylhet -3100 (Beside Mirboxtula Shaad & Robi Customer care)",3100,https://foodpanda.com.bd/restaurant/uoio/juice-bhai
