vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
thoi,9,1.8,4,Chicken jal fry is very bad please improve the food ,Sumon,
l5sp,30,3.41,40,অসাধারণ ২,Hasim,
x44j,4,3.4,6,Rider's behavior is too good. food was also ok.,Fahim,
fkhv,1,4.0,2,order disi kolija paisi mangsho😅jodio tasty chilo,yea,
g715,30,2.22,22,"waste of money, doi chira without any sugar, fruits, low quality doi... tasteless. ",Dr,
gh70,4,1.89,1,Got a mosquito fried as a bonus inside mine. ,Raisa,
tg2l,4,3.18,5,"3* only for Chicken ball, it’s just half boiled. ",Pzzz,
zzj7,4,1.4,1,food quality very bad ,Rasel,
z6ix,30,3.25,41,Good,Shuvro,
lr82,15,3.89,24,sandwich ta thik chilo...ageo onek order korechi.. kintu eibar sauce er box ta khule giyechilo.. asha kori next time kheyal rakhben,Madob,
b2y7,2,4.6,5,Bot is so good.But fried chicken is not so good.,Asif,
t8da,30,2.97,33,gd food,Nobin,
jkz2,30,2.89,30,এরা বিফ একেক সময় একেকটা দেয়।আজকে অডার দিলাম হাড্ডি আর চর্বি দিসে এইগুলা খাইতে মানুষ অডার্র করবে? ফুরাই ফালতু,Nurul,
xes3,10,3.4,13,worth it❤️ at first im little bit confused when im order but really satisfied..love it❤️❤️,Mohammad,
qrvf,30,2.68,32,"সাব-স্যান্ডউইচ পুড়ে গিয়েছিলো অনেকটা, আর ভিতরের ফিলারের পরিমাণও অনেক কম। Not Recommended. ",Dwoha,
gm1v,7,2.67,3,They didn’t even provide sauce with the chicken tikka!! I also wrote it in the note to provide extra sauce…and they didn’t even provide any sauce!!!Terrible experience with the food! ,Sumaiya,
yq8k,17,3.0,23,"নাগা পাস্তা অর্ডার করছিলাম, সকালে বাসি খাবারটা গরম করে দেওয়া হয়েছে। রান্না ১০০% করা হয়নি কাঁচা কাঁচা ভাব ছিলো। আর ঝাল দেওয়া হয়েছে তা ভালো করে মিস্কড হয়নি, ঝালের পরিমান অতিরিক্ত ছিলো যা একজন সাধারণ মান",Kamru,
dc1q,8,2.33,4,underrated . eclair khaia mukh rongin hoia gese amar.😂😂😂,Rana,
p9h8,5,2.54,3,old chicken without proper dressing. rice has bad smell but was plenty. ,Jahirul,
q46l,30,3.42,46,"রাইডার অনেক খারাপ ছিলো, বাসায় ডেলিভারি দে নি , অনেক খারাপ বিহেভিয়ার ",Md,
xc0b,30,4.39,63,Best best and best all the time specially their sauce ,Nishi,
gct3,30,3.23,42,খুবই ভালো। ,Misbaur,
ibl5,27,2.73,29,"Hot chicken was too bad to chew of, and it was cold, not even juicy or tangy. Hard as rubber, meatless bone and burnt out. You should compensate for your poor service ",Promi,
i1k6,8,3.24,8,"might be the worst food I ever had in my 8 years of ordering Foodpanda, the rice in pookie platter was smelly and disgusting ",Shams,
zihh,30,3.42,43,"vegetable fried rice was good, the pieces of lemon in the lemon chili rice are really bitter though",Kawstav,
k5zw,10,2.62,10,বিরিয়ানির নামে লবণ  বিহীন লাল ভাত  এবং মিট বক্সের নামে আলুর বক্স।  জঘন্য এবং এক্সপেন্সিভ। ,Maisha,
zxyq,20,2.71,16,chiken momo osadharon ❤️rider o vlo chilo,Asma,
ae17,3,2.33,2,"ফুড কোয়ালিটি জগন্য, খাবারের মাজে পুকা পাওয়া যায়",Abdur,
joei,10,2.52,9,chicken momo ta onek baje kunu test e nai. chicken pizza muta muti  onek baje Hoyse.  pudding ta kub test ata balo lagse ,Nur,
y4il,1,1.67,0,"dough was undercooked and did not get two full portions of fries but the toppings were okay, Margherita pizza had extra toppings so not good for picky kids",Diya,
ip6b,1,3.0,0,Soup is reallyyy good. But wonton was only one piece and it wasnt even a proper wonton😭 Good for the cheap price tho.,Anika,
q0rs,30,3.68,44,medium oto valo na,Muzahidul,
wdr2,10,1.96,7,poor packaging and food taste.,Taiuf,
t7qx,30,3.1,34,Burger was good enough but the cheese meat box isn't so tasty.,sojib,
tkb9,30,3.77,55,everything was good except the mix veg.,Madob,
crbw,3,2.5,2,wrong item + tasted horrible.,Sami,
izj6,30,2.03,17,Very bed quality of chicken ,KS,
v6uy,1,1.0,0,Quantity kub e kom … waste of money….  100 tkr borta baccha 1 ta o keye pet borbe na … so disappointed 😤,ibrahim,
mnqz,30,3.03,35,চিকেন ঝাল ফ্রাই মোটামুটি ভালো 😋,MISS,
v9wp,2,4.67,6,best but price aktu bashi,Sumaya,
o1ks,7,3.12,7,take to much time.,Shaifuzzaman,
gu2k,30,2.88,29,"Soggy and unseasoned fries, crispy burger was damp lol",Nasif,
j877,30,2.94,34,not good today it was too late!,Sak,
vvml,13,3.0,16,10/10 quality n quantity ,Ishrak,
xtjn,2,3.4,3,"Test quality akdom baje,50 tk burger er moto taste, salad er quantity low.foling paper nai",Md,
uz4r,30,3.47,41,"food was good, everything was cooked good",Tadbirul,
ugwz,17,3.95,32,গুড ,Hridoy,
w64f,30,4.07,54,"Beef Akhni was excellent, everything of it was perfect. But, beef lal bhuna wasn't up to the mark, need to change the recipe.",Enamul,
joso,15,3.0,19,Good...,Husain,
t1pw,30,2.4,22,Fries where cold and hard like wood,Mohammed,
qrg6,3,3.67,7,Worst food ever they missed half my items the fish with no fish inside,Rafid,
qm84,9,3.17,12,Too sweet,Nishi,
e798,30,3.18,39,Good,Ahmed,
cgea,2,2.33,2,gave the wrong wings. nuggets were ok. the salami was spoiled! ,Raisa,
hqpq,10,2.67,10,eto vlo na,Nargis,
fswr,30,2.97,37,Best best best and best,Nishi,
wclb,30,3.71,55,দেখেছি যেমন তেমন হয় নি৷  😒🙂,Promi,
clhr,3,2.0,2,best,RIFATツ,
x42w,5,1.36,1,"এরা লিখে রেখেছে মিক্সড ফ্রাইড রাইসে কোন বিফ নেই, কিন্তু বিফ দেয়া। এরকম দুনম্বরী প্রথম দেখলাম। এরকম আনপ্রফেশনালিজম খুবই খারাপ।",Amitava,
w5r5,26,3.36,31,Chicken salami order korsi but burger dilo kno??? Chicken salami na diye??,Shayla,
dw8z,8,4.5,14,খাবার অনেক ভালো ,Pijush,
spj4,1,3.67,1,"কেউ অযথা টাকা নষ্ট করবেন না।নামে মাত্র কলিজা সিংগারা,বিফ সিংগারা,একদমই বাজে।টাকটাই নষ্ট।",Sorna,
ir5g,5,3.15,7,worst fried rice. ,adiba,
hoat,30,3.0,34,Worst burger �,Giti,
dgwy,13,3.51,17,Vegetable patties ta bhalo but chicken patties a chicken almost nai bollei chole.,AngryFoodie,
phio,30,3.41,46,was good,.....,
b0or,30,2.59,28,খুবই ভালো ছিল।,SAMI,
nujs,6,1.93,3,Very badd no chicken salad vitre dia dilaise stupidid 🤬,Fredie,
f6zy,4,2.5,2,কোনে সাদ নাই পালতু খাবার ,Rj,
t4sx,30,3.03,37,Bad dish ,Naim,
rlh9,30,3.28,37,chicken tehari taste & quantity were great,Saima,
nnnb,30,3.92,52,"Took almost 2 hrs to deliver today, also had items missing twice on previous deliveries ",Uchchall,
dgec,13,2.93,14,অনেক ভালো মানের ছিল। Fully satisfied. Alhamdulillah ,Husain,
qqml,9,2.89,7, rice quantity and size of chicken portions is below of expected.,Sadat,
nijm,30,3.0,32,Worst naga wings everything is so bad,Maisha,
jbf5,30,3.56,45,chicken momo sooo goood,Khaled,
roim,30,3.32,40,worth of money ,Mahfujul,
mk4y,1,5.0,3,"⭐️⭐️⭐️⭐️⭐️
Ma Kitchen serves delicious, homemade-style food with authentic flavors. The portions are generous, fresh, and full of love—just like eating at home. Highly recommended!",MD,
n6p8,30,4.14,59,good as always ,Tadbirul,
